N	3gram	Tiupa_Teor_1	Tvorches
1	то же время	5	7
2	в то же	5	7
3	в романе достоевского	1	5
4	в соответствии с	2	4
5	по отношению к	4	3
6	по сути дела	1	3
7	не может быть	4	3
8	но прежде всего	1	2
9	в одной из	1	2
10	и в то	1	2
11	в отличие от	6	2
12	по крайней мере	1	2
13	именно в этом	1	2
14	так же как	1	2
15	с другой стороны	5	2
16	о том что	1	2
17	в том что	8	2
18	том что в	1	1
19	между собой например	1	1
20	если он не	1	1
21	как уже говорилось	1	1
22	видим в нем	1	1
23	я никогда не	1	1
24	дело в том	1	1
25	и потому что	1	1
26	в том числе	2	1
27	может быть назван	1	1
28	одним из древнейших	1	1
29	может быть определен	1	1
30	он ни был	1	1
31	от всех и	1	1
32	является одним из	1	1
33	мы видим в	1	1
34	в литературе в	1	1
35	точно так же	1	1
36	со всех сторон	1	1
37	то или иное	1	1
38	только то что	1	1
39	войне и мире	2	1
40	но в то	1	1
41	не сводится к	4	1
42	в известном смысле	1	1
43	в центр художественного	1	1
44	не могут быть	2	1
45	а с другой	2	1
46	так и не	4	1
47	в свою очередь	2	1
48	той или иной	1	1
49	в связи с	1	1
50	в виду что	1	1
51	в целом ряде	1	1
52	первой части романа	1	1
53	в то время	1	1
54	того или иного	3	1
55	превращая его в	1	1
56	при этом что	1	1
57	в конечном счете	6	1
58	именно потому что	1	1
59	в русской литературе	2	1
60	том числе и	1	1
61	за пределами текста	1	1
62	содержит в себе	1	1
63	в частности с	1	1
64	в поле зрения	1	1
65	как и в	2	1
66	мы говорим о	1	1
