N	3gram	Losev_Vlad_1	Analitik
1	не может быть	3	16
2	в том что	7	9
3	в то же	4	8
4	в том чтобы	2	7
5	то же время	4	6
6	что иное как	1	5
7	мы имеем дело	1	4
8	и не может	1	4
9	не что иное	1	4
10	к тому же	2	4
11	о том что	7	3
12	бы то ни	1	3
13	для того чтобы	2	3
14	то ни было	1	3
15	с одной стороны	1	3
16	имеем дело с	1	3
17	есть не что	1	3
18	нет и не	1	2
19	того что в	1	2
20	в самом деле	1	2
21	в этом отношении	1	2
22	но в то	1	2
23	с другой стороны	3	2
24	в свое время	5	2
25	том что он	2	2
26	в том виде	1	1
27	чего бы то	1	1
28	тех пор пока	1	1
29	я никогда не	1	1
30	и той же	1	1
31	более или менее	3	1
32	также и в	1	1
33	один и тот	2	1
34	как и сам	1	1
35	как раз и	2	1
36	а не к	1	1
37	да и в	1	1
38	говоря уже о	1	1
39	как мы увидим	2	1
40	с ним в	1	1
41	на самом же	1	1
42	для нас очень	1	1
43	в то что	1	1
44	виде в каком	1	1
45	вместе с тем	1	1
46	одно и то	1	1
47	субъект и объект	1	1
48	и в частности	2	1
49	на вопрос зачем	1	1
50	здесь мы имеем	1	1
51	не только в	2	1
52	в особенности же	1	1
53	смысле этого слова	1	1
54	и то же	1	1
55	в свою очередь	1	1
56	а с другой	1	1
57	так и не	1	1
58	во всяком случае	2	1
59	что же касается	4	1
60	самом же деле	1	1
61	том виде в	1	1
62	что даже в	1	1
63	до тех пор	1	1
64	еще в году	1	1
65	на него не	1	1
66	и вместе с	1	1
67	и тем самым	1	1
68	мысль о том	1	1
69	в этом смысле	4	1
70	же касается самого	1	1
71	в связи с	1	1
72	но отнюдь не	1	1
73	к тому что	1	1
74	одной и той	1	1
75	с особого рода	1	1
76	дело не в	1	1
77	вера в то	1	1
78	этот факт не	1	1
79	то он не	1	1
80	в том же	1	1
81	по возвращении в	1	1
82	и тот же	2	1
83	не говоря уже	1	1
