N	3gram	Tiupa_Teor_1	Russkaja
1	то же время	5	10
2	в то же	5	10
3	с точки зрения	3	9
4	в том что	8	7
5	для того чтобы	1	6
6	а между тем	1	5
7	более или менее	2	4
8	бы то ни	1	4
9	в том случае	1	4
10	не может быть	4	4
11	том случае если	1	3
12	в данном случае	5	3
13	той или иной	1	3
14	точно так же	1	2
15	все что может	1	2
16	таким же образом	1	2
17	не только к	1	2
18	того или иного	3	2
19	о том что	1	2
20	ни к чему	1	2
21	и тем самым	2	2
22	друг от друга	1	2
23	в большинстве случаев	1	2
24	к тому что	2	2
25	сама по себе	1	2
26	и того же	3	1
27	и в жизни	1	1
28	состоит в том	5	1
29	дело в том	1	1
30	в свою очередь	2	1
31	по отношению к	4	1
32	в том числе	2	1
33	то же самое	1	1
34	точки зрения в	1	1
35	может быть назван	1	1
36	до известной степени	2	1
37	в единое целое	2	1
38	отношение человека к	1	1
39	только то что	1	1
40	том числе и	1	1
41	заключает в себе	1	1
42	тот или иной	2	1
43	в противном случае	1	1
44	по крайней мере	1	1
45	в значительной степени	1	1
46	в основе его	1	1
47	и т.д эта	1	1
48	но в то	1	1
49	то ни было	1	1
50	к чему не	1	1
51	как видно из	1	1
52	того что не	1	1
53	по себе еще	1	1
54	в связи с	1	1
55	внутренней и внешней	2	1
56	в полной мере	1	1
57	так же как	1	1
58	относится не только	1	1
59	она могла бы	1	1
60	а в том	1	1
61	между собой и	1	1
62	заключается в том	1	1
63	тех или иных	3	1
64	же время эти	1	1
65	себя только в	1	1
66	одного и того	3	1
67	тем не менее	3	1
68	на первый взгляд	1	1
69	себе еще не	1	1
