N	3gram	Savitsky_P_1	Myslijsy
1	заключает в себе	2	8
2	в том что	4	7
3	до тех пор	1	6
4	не может быть	1	5
5	само по себе	1	5
6	и то что	1	4
7	и в этом	1	4
8	для того чтобы	1	4
9	с точки зрения	3	3
10	вместе с тем	1	3
11	во всяком случае	1	3
12	и т д	1	3
13	то же время	7	3
14	тем и другим	1	3
15	в то же	7	3
16	тех пор пока	1	2
17	хотя бы и	1	2
18	сами по себе	3	2
19	можно думать что	1	2
20	не в том	1	2
21	в большинстве случаев	1	2
22	в этом деле	1	2
23	есть для нас	1	1
24	есть не более	1	1
25	что то же	1	1
26	половины xix века	1	1
27	да и не	1	1
28	в том виде	1	1
29	но в душе	1	1
30	в настоящее время	1	1
31	в том числе	2	1
32	нужно помнить что	2	1
33	и не только	2	1
34	можно говорить о	1	1
35	и быть может	1	1
36	но и в	2	1
37	не было бы	1	1
38	быть может не	1	1
39	в ряду многих	1	1
40	и не может	1	1
41	вопрос об отношении	1	1
42	если бы мы	1	1
43	с одной стороны	3	1
44	а в с	1	1
45	с другой стороны	1	1
46	и знать что	1	1
47	заключается в том	2	1
48	стороны есть нечто	1	1
49	или что то	1	1
50	том числе и	1	1
51	и тем более	1	1
52	не более как	1	1
53	в сравнении с	3	1
