N	3gram	Vinokur_St_3	FransuaR
1	в то же	3	9
2	то же время	3	9
3	для того чтобы	1	6
4	в том что	11	6
5	в этом отношении	4	5
6	в связи с	3	5
7	на самом деле	1	4
8	как мы видели	1	4
9	связи с этим	1	3
10	до сих пор	2	3
11	потому что он	2	3
12	в чем же	1	2
13	и не в	2	2
14	в одной из	1	2
15	то же самое	1	2
16	можно сказать что	1	2
17	в то время	4	2
18	можно было бы	1	2
19	точку зрения на	1	2
20	с точки зрения	4	2
21	не может быть	5	2
22	о том что	4	1
23	из этих двух	1	1
24	в мировой литературе	3	1
25	одной из своих	1	1
26	одной и той	1	1
27	только тогда когда	2	1
28	и в частности	1	1
29	сказать несколько слов	1	1
30	все действующие лица	1	1
31	свидетельствуют о том	1	1
32	независимо от их	1	1
33	в этом выражении	1	1
34	подчеркнуть что в	1	1
35	от того что	1	1
36	по этому поводу	2	1
37	в другом случае	1	1
38	всей мировой литературе	1	1
39	тем как в	1	1
40	но на самом	1	1
41	которая является не	1	1
42	очень часто в	1	1
43	в году в	1	1
44	но в сущности	1	1
45	с новыми явлениями	1	1
46	он не может	1	1
47	в значительной мере	1	1
48	под углом зрения	1	1
49	и той же	1	1
50	что в этой	2	1
51	и если в	1	1
52	той или иной	1	1
53	и в самом	1	1
54	у него были	1	1
55	на котором он	1	1
56	независимо от того	2	1
57	в этом целом	1	1
58	к жизни и	1	1
59	это связано с	3	1
60	является не только	1	1
61	в самом деле	1	1
62	об этом мы	1	1
63	вместе с тем	1	1
64	что это было	1	1
65	в самом начале	1	1
66	то что в	1	1
67	в г в	3	1
68	даже там где	1	1
69	в свою очередь	1	1
70	но это не	3	1
71	по существу это	1	1
72	потому что в	1	1
73	во всей мировой	1	1
74	относится к году	1	1
75	является одним из	1	1
76	в той или	1	1
77	во всех этих	2	1
78	тем не менее	2	1
79	из этих произведений	1	1
80	между тем как	2	1
81	в течение всей	2	1
