N	3gram	Nazirov_Tv_2	slovoVRo
1	и т п	2	33
2	не может быть	3	15
3	в отличие от	2	12
4	той или иной	1	5
5	по отношению к	3	4
6	то же время	7	4
7	в то же	7	4
8	в том что	2	4
9	в романе в	1	3
10	но в то	1	3
11	так и в	2	3
12	в чем не	1	2
13	но прежде всего	2	2
14	в свою очередь	1	2
15	до сих пор	3	2
16	и в истории	1	2
17	не могут быть	1	2
18	в его романах	1	2
19	во всяком случае	2	2
20	ни в чем	1	2
21	в романе не	1	2
22	в связи с	1	2
23	и т д	11	2
24	хотя и не	1	1
25	мы говорим о	1	1
26	в идеологической сфере	1	1
27	в чем же	1	1
28	том что в	1	1
29	значение в романах	1	1
30	в том числе	1	1
31	и в то	2	1
32	сами по себе	1	1
33	лишь одна из	1	1
34	и в дальнейшем	1	1
35	том числе и	1	1
36	и не может	2	1
37	у ивана карамазова	1	1
38	со всех сторон	1	1
39	может и не	1	1
40	что в романе	1	1
41	в применении к	1	1
42	при этом на	1	1
43	со своим собственным	1	1
44	это не значит	1	1
45	мы уже говорили	1	1
46	в роман и	1	1
47	в целом ряде	1	1
48	с другой стороны	2	1
49	роман xix века	1	1
50	целом ряде случаев	1	1
51	о том что	2	1
52	того или иного	1	1
53	в частности в	1	1
54	в нем нет	1	1
55	мы не можем	1	1
56	как и в	1	1
57	в основном путем	1	1
58	ивана карамазова и	2	1
59	исключительно важную роль	1	1
60	с самого начала	1	1
61	и особенно в	1	1
62	нужно сказать что	1	1
63	и ту же	1	1
64	а во второй	1	1
65	в романах достоевского	12	1
66	героя и его	1	1
67	одну и ту	1	1
68	влечет за собой	2	1
69	идет уже не	1	1
