N	2gram	Tiupa_Hudo_2	Mirosoze
1	может быть	8	30
2	не только	11	29
3	не может	4	28
4	и в	28	28
5	но и	9	25
6	а не	14	25
7	он не	4	24
8	в этом	13	20
9	не было	6	18
10	о свободе	1	18
11	у него	5	17
12	не в	13	16
13	потому что	2	16
14	в своей	6	15
15	в ней	3	15
16	человека и	3	14
17	он был	1	14
18	до конца	1	14
19	никогда не	5	14
20	в нем	3	13
21	человека в	4	13
22	и он	3	12
23	и это	3	12
24	и не	18	11
25	в самом	5	11
26	для него	5	11
27	достоевского и	1	10
28	прежде всего	3	10
29	и все	7	10
30	человек не	1	10
31	что в	5	10
32	и потому	1	10
33	в творчестве	1	10
34	в мире	7	10
35	что он	8	10
36	было бы	3	10
37	в своем	5	10
38	но он	1	9
39	в его	11	9
40	и его	5	9
41	человек в	3	9
42	человеке и	1	8
43	но не	4	8
44	в человеке	3	8
45	в котором	6	8
46	в себе	9	7
47	образ человека	1	7
48	любви к	2	7
49	к нему	3	7
50	в конце	1	7
51	того что	1	7
52	нет ничего	2	7
53	но в	2	7
54	в самой	1	7
55	в которой	1	6
56	он сам	2	6
57	вместе с	2	6
58	в том	15	6
59	человек и	1	6
60	лишь в	2	6
61	только в	4	6
62	в этой	5	6
63	и на	3	6
64	все в	1	6
65	все это	3	6
66	о боге	2	6
67	он уже	2	6
68	как и	11	5
69	в самую	1	5
70	нет и	1	5
71	это не	6	5
72	на поверхности	1	5
73	мира и	1	5
74	весь в	1	5
75	то что	6	5
76	от нее	1	5
77	человек есть	1	4
78	был в	1	4
79	не знает	1	4
80	всю жизнь	1	4
81	точки зрения	2	4
82	к концу	1	4
83	а в	6	4
84	с этой	1	4
85	отношения к	1	4
86	человека не	1	4
87	в этих	3	4
88	в любви	2	4
89	за пределы	1	4
90	к ней	2	4
91	один из	2	4
92	это и	1	4
93	уже не	10	4
94	в человеческой	1	4
95	в них	3	4
96	тем что	6	4
97	ни с	2	4
98	что и	4	4
99	она не	5	4
100	не как	2	4
101	которых он	1	4
102	уже в	1	4
103	отношение к	2	4
104	потому не	1	3
105	и с	6	3
106	для нас	3	3
107	есть и	3	3
108	к богу	1	3
109	человека а	1	3
110	в жизни	8	3
