N	2gram	Losev_Vesc_1	Mirosoze
1	может быть	16	30
2	не только	36	29
3	и в	21	28
4	не может	17	28
5	но и	18	25
6	а не	19	25
7	в этом	4	20
8	не было	1	18
9	у него	2	17
10	не в	5	16
11	потому что	16	16
12	это –	25	16
13	в ней	12	15
14	в своей	5	15
15	человека и	1	14
16	и есть	26	14
17	никогда не	2	14
18	человека в	1	13
19	в нем	2	13
20	и он	1	12
21	и это	14	12
22	он –	1	12
23	в самом	9	11
24	для него	4	11
25	и не	29	11
26	во имя	1	10
27	в своем	6	10
28	было бы	14	10
29	что в	9	10
30	прежде всего	9	10
31	что он	1	10
32	и потому	5	10
33	и все	5	10
34	с тем	5	9
35	но он	2	9
36	и его	2	9
37	не есть	49	9
38	в его	2	9
39	к человеку	1	9
40	есть лишь	2	9
41	из самых	2	8
42	в котором	3	8
43	но не	5	8
44	но в	5	7
45	в себе	14	7
46	быть может	1	7
47	в конце	2	7
48	в самой	2	7
49	к нему	1	7
50	того что	8	7
51	должна быть	4	6
52	в которой	1	6
53	в этой	3	6
54	только в	14	6
55	вместе с	1	6
56	все это	5	6
57	в том	8	6
58	нет и	1	5
59	если он	1	5
60	от нее	2	5
61	это не	5	5
62	как и	8	5
63	что есть	5	5
64	у нас	7	5
65	движении в	1	5
66	то что	27	5
67	и я	1	5
68	– не	9	5
69	это и	6	4
70	и этот	2	4
71	есть не	14	4
72	отношение к	1	4
73	не к	1	4
74	и по	1	4
75	должен был	1	4
76	в этих	1	4
77	точки зрения	5	4
78	к ней	2	4
79	она не	4	4
80	мог бы	5	4
81	что и	3	4
82	значит что	24	4
83	один из	3	4
84	уже не	9	4
85	уже в	1	4
86	есть уже	1	4
87	ни с	6	4
88	а в	4	4
89	тем что	2	4
90	человек есть	1	4
91	с этой	4	4
92	с его	1	3
93	с этим	3	3
94	когда он	1	3
95	духа в	1	3
96	бы и	5	3
97	когда человек	1	3
98	и еще	2	3
99	и вот	2	3
100	на этом	2	3
101	и с	8	3
102	его в	2	3
103	в жизни	3	3
104	только одно	2	3
105	не мог	1	3
106	том что	8	3
107	но если	8	3
108	– все	1	3
109	ничего не	3	3
110	в движении	1	3
111	к тому	3	3
112	которая есть	1	3
113	этот путь	1	3
114	в ее	7	3
115	с собой	2	3
116	только и	2	3
117	в него	1	3
118	себя в	10	3
119	конечно не	1	3
120	одно из	1	3
121	не так	1	3
122	и их	7	3
123	так как	7	3
124	что человек	1	3
125	себя и	4	3
126	я хочу	5	3
127	это есть	7	3
128	для человека	1	3
129	это значит	24	3
130	должно быть	6	3
131	для нас	2	3
132	хотя бы	6	3
133	будто бы	1	3
134	в свете	7	3
