N	3gram	Tiupa_Hudo_1	Narrotol
1	в данном случае	1	8
2	во времени и	1	6
3	не только в	2	6
4	времени и пространстве	1	6
5	в том что	6	5
6	с анной сергеевной	2	5
7	в то же	8	4
8	то же время	8	4
9	не может быть	2	4
10	по отношению к	8	3
11	в первом случае	1	3
12	тем не менее	3	3
13	речь идет о	2	3
14	в этом отношении	3	3
15	о том что	9	2
16	что у нее	1	2
17	друг для друга	3	2
18	не только от	1	2
19	перед нами не	1	2
20	в прозе чехова	1	2
21	у него сжалось	1	2
22	в центре внимания	1	2
23	в самом деле	4	2
24	заключает в себе	1	2
25	до сих пор	2	2
26	в отличие от	1	2
27	чем иным как	1	2
28	то же самое	1	2
29	в город с	1	2
30	состоит в том	1	2
31	серая от пыли	1	2
32	в равной степени	1	2
33	сердце у него	1	2
34	к анне сергеевне	5	2
35	дамы с собачкой	4	2
36	в связи с	3	2
37	не только на	1	2
38	сами по себе	1	2
39	на то что	2	2
40	не сводится к	1	2
41	как раз в	2	2
42	но и от	1	2
43	во всяком случае	1	2
44	в свою очередь	1	2
45	встреча кругозоров закрытых	1	1
46	кабинетов водолечебницы чтобы	1	1
47	это могло бы	1	1
48	обособлен пока только	1	1
49	на странице письма	1	1
50	нее было довольно	1	1
51	она из деревни	1	1
52	к такого рода	1	1
53	со шляпой а	1	1
54	героя при этом	1	1
55	себя где-нибудь в	1	1
56	связи к одному	1	1
57	но совершенно глухое	1	1
58	своей детскостью голос	1	1
59	в начале второй	1	1
60	сознания героя в	1	1
61	тут тоже стал	1	1
62	эта нелепая чернильница	1	1
63	берете однако и	1	1
64	профанации слова отождествление	1	1
65	здесь сталкиваются не	1	1
66	с одной стороны	1	1
67	их друг для	1	1
68	происходит это главным	1	1
69	укрупнение плана в	1	1
70	назначении кабинетов водолечебницы	1	1
71	непонятный набор чуждых	1	1
72	двум продиктованным ранее	1	1
73	анна сергеевна ходила	1	1
74	как? как? хватая	1	1
75	и столь случайные	1	1
76	провел с головной	1	1
77	то сердце у	1	1
78	с головной болью	1	1
79	голову седину которой	1	1
80	улицах вихрем носилась	1	1
81	в финале рассказа	3	1
82	построена так словно	1	1
83	а п чудаков	2	1
84	он восклицает как?	1	1
85	содержателен чем это	1	1
86	в концовке фразы	1	1
87	визит генерала конструктивный	1	1
88	пор еще можно	1	1
89	о жизни как	1	1
90	в сущности в	1	1
91	только объект новое	1	1
92	говорили что на	1	1
93	за авторским восклицанием	1	1
94	можно встретиться с	1	1
95	а анна сергеевна	1	1
96	чудаков детали несущественные	1	1
97	дисциплинарных взысканий это	1	1
98	есть на самом	1	1
99	о человеке сохранившем	1	1
100	вспомнил он ее	1	1
