N	2gram	Losev_Vlad_3	Sotsiolo
1	все это	1	7
2	в том	18	5
3	в этом	16	5
4	и только	3	3
5	для нас	5	3
6	не только	25	3
7	и в	40	3
8	не в	3	3
9	в его	14	3
10	за пределы	3	2
11	но и	18	2
12	конце концов	5	2
13	и мы	1	2
14	было бы	4	2
15	к которому	1	2
16	в смысле	6	2
17	должна быть	2	2
18	только в	13	2
19	далеко не	3	2
20	нужно было	1	2
21	в результате	4	2
22	том что	18	2
23	в частности	1	2
24	как будто	1	2
25	то что	28	2
26	и что	8	2
27	еще не	4	2
28	только как	1	2
29	заключается что	1	2
30	таким образом	11	2
31	это и	1	2
32	в конце	12	2
33	что в	17	2
34	может быть	8	2
35	как бы	3	2
36	очевидно что	1	2
37	и заключается	1	2
38	по существу	4	2
39	то же	4	2
40	в свои	1	1
41	тотчас же	1	1
42	что все	7	1
43	я и	1	1
44	же не	2	1
45	противном случае	1	1
46	нашей работы	1	1
47	по себе	6	1
48	даже в	4	1
49	сама по	1	1
50	а вот	2	1
51	в мире	2	1
52	сказать и	1	1
53	в этой	8	1
54	тому что	4	1
55	отнюдь не	5	1
56	эти два	1	1
57	и должны	1	1
58	выходит за	1	1
59	даже не	3	1
60	этой области	1	1
61	на все	1	1
62	нельзя мыслить	3	1
63	с другой	5	1
64	его в	2	1
65	только для	1	1
66	ровно ничего	2	1
67	и какие	1	1
68	это не	3	1
69	науки о	1	1
70	на этот	1	1
71	именно в	3	1
72	в чем	3	1
73	все же	4	1
74	в противном	1	1
75	один из	1	1
76	и есть	1	1
77	перед нами	3	1
78	в то	7	1
79	кто не	1	1
80	и наконец	2	1
81	еще и	18	1
82	только то	2	1
83	а с	4	1
84	том как	1	1
85	тем что	5	1
86	и как	7	1
87	всего не	1	1
88	в процессе	1	1
89	что он	5	1
90	тогда и	1	1
91	прежде всего	10	1
92	бы он	1	1
93	объекта и	1	1
94	произведение как	1	1
95	в них	1	1
96	так и	6	1
97	не было	5	1
98	одной стороны	3	1
99	те же	1	1
100	но только	2	1
101	и не	25	1
102	это вовсе	1	1
103	никогда не	11	1
104	мы не	2	1
105	трудно представить	1	1
106	же время	2	1
107	ничего не	5	1
108	как то	1	1
109	развития и	1	1
110	и самым	1	1
111	и о	4	1
112	и туманно	1	1
113	все эти	5	1
114	это же	2	1
115	как и	7	1
116	бы в	2	1
117	в настоящее	3	1
118	она должна	2	1
119	и строить	1	1
120	мы должны	4	1
121	первый план	2	1
122	его системе	1	1
123	в сущности	2	1
124	творчество в	1	1
125	благодаря тому	1	1
126	и никакая	1	1
127	но она	1	1
128	вот в	2	1
129	конечно не	1	1
130	в связи	3	1
131	в те	7	1
132	на первый	2	1
133	иначе и	2	1
134	свойств и	3	1
135	и его	10	1
136	в этих	2	1
137	место в	1	1
138	связи с	2	1
139	или не	3	1
140	хотя бы	6	1
141	в целом	2	1
142	не может	14	1
143	в своей	9	1
144	и должно	1	1
145	а в	7	1
146	работы в	1	1
147	тех кто	3	1
148	него и	1	1
149	что она	2	1
150	можно будет	1	1
151	о том	11	1
152	не дает	1	1
153	и потому	10	1
154	же это	2	1
155	настоящее время	3	1
156	представить себе	1	1
157	он ни	2	1
158	в котором	4	1
159	никак не	4	1
160	в строгом	1	1
161	между ними	1	1
162	точке зрения	2	1
163	всему этому	1	1
164	на что	1	1
165	по необходимости	1	1
166	все то	3	1
167	может не	1	1
168	всяком случае	3	1
169	на точке	1	1
170	и понимает	1	1
171	не выходит	1	1
172	когда мы	1	1
173	в силу	2	1
174	он говорит	1	1
175	ни на	2	1
176	что это	9	1
177	вовсе не	13	1
178	но сам	1	1
179	на отдельные	2	1
180	же самое	3	1
181	с одной	3	1
182	а между	1	1
183	далеки от	2	1
184	в заключение	1	1
185	может развиваться	1	1
186	но не	4	1
187	у него	24	1
188	для изучения	1	1
189	а тем	2	1
190	в виде	13	1
191	в данном	5	1
192	но как	2	1
193	и по	2	1
194	что на	2	1
195	и никак	1	1
196	и более	2	1
197	том и	1	1
198	во всяком	3	1
199	и будет	1	1
200	они не	1	1
201	это значит	6	1
