N	2gram	Medvedev_F_2	OGranits
1	и в	38	13
2	и его	21	12
3	прежде всего	15	9
4	может быть	23	8
5	не может	14	8
6	и не	20	8
7	в его	10	7
8	и их	3	7
9	и пр	21	7
10	точки зрения	8	7
11	социального общения	4	6
12	только в	6	6
13	как бы	4	6
14	не только	9	6
15	то что	6	6
16	мы должны	1	6
17	таким образом	20	6
18	художественного произведения	6	5
19	языка и	12	5
20	все же	8	5
21	и наконец	4	5
22	но ведь	3	5
23	в поэзии	12	5
24	метода в	2	5
25	с точки	7	5
26	в процессе	9	5
27	хотя бы	6	5
28	и эта	1	5
29	мы не	3	4
30	произведения как	2	4
31	слов и	1	4
32	на фоне	4	4
33	но в	4	4
34	вопроса о	2	4
35	то же	6	4
36	лишь в	7	4
37	в своей	7	4
38	в школе	2	4
39	было бы	6	4
40	все это	3	4
41	только и	3	4
42	не является	3	4
43	материала в	1	4
44	в каждом	1	4
45	вряд ли	2	3
46	связана с	1	3
47	и то	2	3
48	поэтической речи	1	3
49	в ее	2	3
50	самом деле	8	3
51	в пределах	12	3
52	так и	8	3
53	при анализе	2	3
54	говорить о	5	3
55	в их	6	3
56	в поэтике	2	3
57	за пределы	1	3
58	общего с	1	3
59	с этим	5	3
60	в которой	2	3
61	в себе	1	3
62	языка как	11	3
63	к одному	1	3
64	не как	4	3
65	так как	4	3
66	материала и	4	3
67	но и	13	3
68	слово в	2	3
69	как системы	1	3
70	как и	9	3
71	что же	5	3
72	не в	15	3
73	да и	1	3
74	поэтического произведения	8	3
75	но для	1	3
76	и для	5	3
77	никогда не	2	3
78	и все	3	3
79	превращается в	2	3
80	не столько	4	3
81	что в	7	3
82	в искусстве	2	3
83	поставить вопрос	2	3
84	ничего общего	1	3
85	и наиболее	1	2
86	для себя	1	2
87	и др	3	2
88	данном случае	1	2
89	художественных произведений	1	2
90	жизненной речи	1	2
91	в методологической	1	2
92	зависимости от	3	2
93	в произведении	1	2
94	и может	3	2
95	роль в	3	2
96	и этот	1	2
97	те же	1	2
98	есть не	1	2
99	произведения является	1	2
100	подойти к	2	2
101	представлений и	1	2
102	если бы	5	2
103	и композиция	1	2
104	что иное	1	2
105	может в	1	2
106	иное как	1	2
107	не что	1	2
108	к предмету	3	2
109	с самого	2	2
110	и должно	5	2
111	себе что	1	2
112	для исследования	1	2
113	в ней	6	2
114	ее в	2	2
115	и композиции	2	2
116	в чем	2	2
117	вне всякой	1	2
118	между тем	2	2
119	социального события	2	2
120	в общем	5	2
121	в языке	6	2
122	во всей	2	2
123	каждый элемент	4	2
124	что они	4	2
125	к сожалению	2	2
126	чем же	3	2
127	и следовательно	1	2
128	материалом для	3	2
129	может иметь	1	2
130	как в	4	2
131	в данном	1	2
132	в этом	27	2
133	в том	11	2
134	тот же	1	2
135	с ними	2	2
136	в действительности	1	2
137	или иного	5	2
138	от этого	3	2
139	и отчасти	3	2
140	в этот	1	2
141	в целом	3	2
142	и тем	2	2
143	же слово	1	2
144	формальный метод	10	2
145	все эти	6	2
146	с одной	1	2
147	думать что	1	2
148	уже в	2	2
149	мы получим	1	2
150	кажется что	1	2
151	иным как	1	2
152	в нем	13	2
153	связанные с	1	2
154	при этом	9	2
155	языка но	2	2
156	для него	7	2
157	в другом	1	2
158	вовсе не	11	2
159	в зависимости	3	2
160	о языке	4	2
161	общения и	2	2
162	тем что	8	2
163	в них	1	2
164	связанных с	1	2
165	в области	3	2
166	литературного языка	3	2
167	с другой	3	2
168	а как	3	2
169	в самом	16	2
170	входит в	4	2
171	того или	4	2
172	не чем	1	2
173	одной стороны	1	2
174	материал в	1	2
175	литературное произведение	1	2
176	более того	5	2
177	не на	1	2
178	а не	6	2
179	другой стороны	4	2
180	в руках	1	2
181	там где	4	2
182	несмотря на	1	2
183	в связи	10	2
184	том что	2	2
185	с помощью	10	2
186	и при	1	2
187	и ее	6	2
188	так же	1	2
189	но такое	1	2
190	против такого	1	2
191	в тех	2	2
192	литературного произведения	3	2
193	слова и	7	2
194	художественное произведение	2	2
195	с историей	1	2
196	не менее	1	2
197	что эта	2	2
198	самого начала	2	2
199	не имеет	2	2
200	особенностей в	1	2
201	в книге	1	2
202	в шкловского	6	2
203	форм и	1	2
204	об особой	1	2
205	в структуре	1	2
206	методологической позиции	1	2
207	на язык	2	2
208	собственно говоря	1	2
209	от всех	2	2
210	бы в	5	2
211	истории литературы	6	2
212	и является	1	2
213	во всем	1	2
214	а в	6	2
215	в целях	2	2
216	подойти и	1	2
217	и к	4	2
218	имеет место	1	2
219	могут быть	6	2
220	чем иным	1	2
221	в своих	1	2
222	поэтического языка	65	2
223	к тому	4	2
224	и это	2	1
225	эту систему	1	1
226	можно говорить	2	1
227	эти функции	2	1
228	от произведения	1	1
229	одним из	1	1
230	же как	3	1
231	своего развития	3	1
232	совершенно справедливо	1	1
233	функции в	2	1
234	и через	1	1
235	в виду	2	1
236	того же	1	1
237	на нем	2	1
238	и сами	1	1
239	в некоторых	4	1
240	формалистов к	2	1
241	как известно	1	1
242	только потому	1	1
243	к поэтическому	2	1
244	науки о	2	1
245	это и	5	1
246	индивидуального организма	1	1
247	в собственном	1	1
248	но тем	1	1
249	работы но	1	1
250	самый предмет	2	1
251	и есть	1	1
252	бенедетто кроче	1	1
253	нам кажется	1	1
254	здесь и	4	1
255	предмет исследования	1	1
256	невозможно только	1	1
257	взаимодействия людей	1	1
258	конструкции поэтического	1	1
259	и до	3	1
260	с языком	1	1
261	ведь и	1	1
262	собственном смысле	1	1
263	ли вообще	1	1
264	едва ли	2	1
265	мышления но	1	1
266	своей научной	2	1
267	можно было	1	1
268	что лингвистический	1	1
269	особенно в	3	1
270	иных чисто	1	1
271	теории поэтического	2	1
272	на материале	1	1
273	мы имеем	1	1
274	когда в	1	1
275	тех методологических	1	1
276	содержания в	1	1
277	апелляции к	1	1
278	и о	2	1
279	мы в	2	1
280	вопрос о	1	1
281	на место	1	1
282	стиля в	1	1
283	для этого	2	1
284	по себе	7	1
285	исследования в	2	1
286	понимании этого	2	1
287	подхода к	2	1
288	превращения его	1	1
289	сводится к	5	1
290	метод стал	1	1
291	из того	1	1
292	но даже	1	1
293	социальных связей	1	1
294	этого термина	2	1
295	то это	3	1
296	общения в	3	1
297	теории литературы	1	1
298	слово не	1	1
299	следовательно в	1	1
300	и являются	1	1
301	что существуют	1	1
302	социальной аудитории	1	1
303	поэтическое произведение	3	1
304	в широком	2	1
305	столь же	2	1
306	время в	1	1
307	звуков в	1	1
308	в различных	1	1
309	проблемы поэтического	4	1
310	художественном творчестве	1	1
311	произведения его	2	1
312	данного языка	1	1
313	к нему	3	1
314	рассматривать не	1	1
315	на самом	3	1
316	совсем не	2	1
317	взаимодействия и	1	1
318	но не	2	1
319	то он	1	1
320	вся эта	1	1
321	что язык	1	1
322	борьба с	2	1
323	с духом	1	1
324	же является	2	1
325	отношение к	2	1
326	отметить что	2	1
327	лингвистического явления	1	1
328	богатство и	1	1
329	или иное	1	1
330	и достоевский	1	1
331	и речи	5	1
332	морфологические и	1	1
333	может доставить	1	1
334	на то	1	1
335	один и	1	1
336	в художественной	1	1
337	в истории	6	1
338	есть создание	1	1
339	как направление	1	1
340	в одной	2	1
341	полагая что	1	1
342	статье о	2	1
343	не зная	1	1
344	для создания	2	1
345	познания в	1	1
346	конечно при	1	1
347	в организме	1	1
348	эта проблема	1	1
349	в своем	1	1
350	как из	1	1
351	то или	1	1
352	один из	2	1
353	социальных взаимоотношений	1	1
354	моменты в	1	1
355	образом ритм	1	1
356	творца и	1	1
357	и как	3	1
358	метод в	4	1
359	отбора и	1	1
360	его к	1	1
361	одной из	1	1
362	этот вопрос	2	1
363	история литературы	1	1
364	что он	5	1
365	более или	1	1
366	звука и	5	1
367	есть его	1	1
368	что слово	1	1
369	в значительной	3	1
370	метод должен	2	1
371	не приходится	3	1
372	всех социальных	1	1
373	или же	2	1
374	как попыткой	1	1
375	его символических	1	1
376	организма и	1	1
377	чуть ли	1	1
378	в литературоведении	1	1
379	является лишь	1	1
380	так в	3	1
381	выражение в	1	1
382	ни одна	2	1
383	в этой	6	1
384	для всех	1	1
385	что к	1	1
386	с их	1	1
387	слушателя и	1	1
388	в дальнейшем	4	1
389	элементов в	2	1
390	события и	1	1
391	и тот	1	1
392	конечно не	1	1
393	литературы в	1	1
394	не пытается	1	1
395	не можем	1	1
396	только на	3	1
397	если он	1	1
398	и творческого	1	1
399	эта своеобразная	1	1
400	является не	2	1
401	не из	1	1
402	в статье	4	1
403	речь в	1	1
404	эту тенденцию	1	1
405	или даже	2	1
406	о системе	1	1
407	и других	2	1
408	на эту	1	1
409	же объясняется	1	1
410	этой школы	1	1
411	в понимании	2	1
412	а вовсе	1	1
413	никто не	1	1
414	в узком	1	1
415	состоит в	2	1
416	в виде	1	1
417	он весь	1	1
418	как их	2	1
419	мы полагаем	1	1
420	ни была	3	1
421	в конце	2	1
422	и должна	1	1
423	но что	1	1
424	только с	1	1
425	из него	2	1
426	каждый из	3	1
427	шкловского и	1	1
428	еще одну	2	1
429	с системой	2	1
430	отличие от	2	1
431	на этом	2	1
432	встречаются в	1	1
