N	3gram	Medvedev_U_1	Istorich
1	не может быть	4	7
2	более или менее	1	5
3	с другой стороны	3	5
4	до сих пор	2	5
5	с одной стороны	1	4
6	на то что	1	4
7	в том что	2	4
8	то же самое	2	3
9	друг с другом	1	3
10	бы то ни	3	2
11	то ни было	3	2
12	же самое что	1	2
13	на первый взгляд	1	2
14	все же не	1	2
15	большей или меньшей	1	2
16	само по себе	1	2
17	том что она	1	1
18	для всех этих	1	1
19	и в конце	1	1
20	то что еще	1	1
21	это было бы	1	1
22	равно как и	1	1
23	в этом смысле	2	1
24	в этом случае	1	1
25	кого бы то	1	1
26	о нем но	1	1
27	в противном случае	2	1
28	но не могут	1	1
29	а не только	1	1
30	еще ничего не	2	1
31	но в то	1	1
32	не только в	1	1
33	свойственна не только	1	1
34	в большей или	1	1
35	не в том	1	1
36	не могут быть	2	1
37	быть не может	1	1
38	и только этот	1	1
39	никогда не может	1	1
40	в сторону от	1	1
41	тех или иных	2	1
42	оно все же	1	1
43	в этом отношении	2	1
