N	2gram	Voloshinov_1	Sotsiolo
1	все это	4	7
2	в этом	10	5
3	в том	2	5
4	для нас	3	3
5	более чем	1	3
6	не только	27	3
7	как же	1	3
8	в его	6	3
9	и в	38	3
10	но ведь	6	3
11	не в	6	3
12	только в	6	2
13	может быть	13	2
14	и что	1	2
15	в результате	1	2
16	это и	1	2
17	главным образом	3	2
18	исторической жизни	1	2
19	то же	14	2
20	было бы	7	2
21	таким образом	7	2
22	но и	13	2
23	как будто	1	2
24	тем более	1	2
25	еще не	3	2
26	то что	8	2
27	или даже	2	2
28	конце концов	3	2
29	нужно было	2	2
30	за пределы	1	2
31	только как	1	2
32	в частности	3	2
33	к которому	1	2
34	очевидно что	2	2
35	как только	4	2
36	в конце	6	2
37	что в	1	2
38	как бы	28	2
39	том что	3	2
40	дело не	1	2
41	и не	14	1
42	в мире	2	1
43	эти вопросы	2	1
44	и есть	1	1
45	в этой	6	1
46	столь же	1	1
47	в процессе	6	1
48	в своей	2	1
49	бы в	5	1
50	может не	1	1
51	же этот	1	1
52	еще и	2	1
53	по себе	1	1
54	все эти	2	1
55	только то	1	1
56	представить себе	3	1
57	и его	7	1
58	в целом	4	1
59	вряд ли	3	1
60	творческой энергии	1	1
61	с другой	1	1
62	это как	1	1
63	в сущности	1	1
64	в те	1	1
65	связи с	3	1
66	крайней мере	1	1
67	конечно только	2	1
68	должно было	3	1
69	в связи	2	1
70	что он	2	1
71	тем же	3	1
72	о художественных	1	1
73	он ни	1	1
74	не было	2	1
75	мастером своего	1	1
76	для наших	2	1
77	на отдельные	2	1
78	когда мы	6	1
79	а с	5	1
80	ли не	2	1
81	не из	1	1
82	происходящее в	1	1
83	конечном счете	1	1
84	но не	2	1
85	и никак	1	1
86	никак не	1	1
87	зависит от	2	1
88	из тех	1	1
89	вовсе не	2	1
90	все же	7	1
91	жизни он	1	1
92	что личность	1	1
93	между тем	3	1
94	но как	2	1
95	вопросом о	1	1
96	а в	5	1
97	в конечном	1	1
98	это не	3	1
99	в то	9	1
100	те же	4	1
101	мы должны	10	1
102	между ними	3	1
103	писателя не	1	1
104	его исследования	1	1
105	конечно не	3	1
106	и темы	1	1
107	даже больше	1	1
108	и наконец	5	1
109	для этого	1	1
110	в чем	1	1
111	на первый	1	1
112	никогда не	7	1
113	в силу	1	1
114	и понимает	1	1
115	в котором	3	1
116	к вопросам	1	1
117	стоит только	1	1
118	осложняется еще	1	1
119	тому что	5	1
120	в него	1	1
121	отнюдь не	10	1
122	по крайней	1	1
123	и о	1	1
124	чуть ли	2	1
125	в этих	2	1
126	у него	1	1
127	как и	10	1
128	с помощью	6	1
129	с ним	2	1
130	место в	2	1
131	ни на	3	1
132	этом но	1	1
133	на все	1	1
134	том и	1	1
135	не мешает	1	1
136	один из	4	1
137	и как	9	1
138	его в	4	1
139	о том	4	1
140	же самое	5	1
141	связь между	2	1
142	и потому	2	1
143	хотя бы	18	1
144	со своими	1	1
145	по необходимости	1	1
146	слова но	3	1
147	она должна	1	1
148	это дает	1	1
149	дает нам	1	1
150	в таких	1	1
151	ничего не	8	1
152	все то	2	1
153	что это	4	1
154	и благодаря	1	1
155	между собой	2	1
156	на этот	1	1
157	мы не	9	1
158	я и	2	1
159	не может	12	1
160	же время	7	1
161	перейти к	2	1
162	даже не	1	1
163	прежде всего	21	1
164	благодаря тому	1	1
165	нет его	1	1
166	он говорит	1	1
167	или не	1	1
168	тем что	2	1
169	этом не	1	1
170	что эти	2	1
171	так и	6	1
172	в виде	1	1
173	именно в	1	1
174	что без	1	1
175	и будет	1	1
176	это же	2	1
177	перед нами	3	1
178	только тогда	2	1
179	в области	5	1
