N	2gram	Tiupa_Lite_2	KulturaY
1	и т	2	54
2	т п	2	41
3	и в	19	23
4	точки зрения	4	23
5	в том	10	22
6	не только	8	17
7	в этом	9	16
8	было бы	2	16
9	с точки	3	16
10	самом деле	1	14
11	может быть	17	14
12	в области	4	14
13	в самом	1	13
14	что в	4	13
15	не менее	6	12
16	потому что	2	12
17	для того	2	12
18	том что	7	11
19	того чтобы	1	11
20	можно было	1	11
21	в его	4	11
22	того что	5	11
23	а не	20	11
24	у нас	5	10
25	и не	11	10
26	еще не	2	9
27	таким образом	1	9
28	тем не	2	9
29	хотя бы	2	9
30	так как	3	9
31	прежде всего	4	9
32	в виду	2	8
33	уже не	2	8
34	как на	3	8
35	как это	2	7
36	все эти	1	7
37	в нашем	2	7
38	того как	1	7
39	и что	2	7
40	с другой	8	7
41	или иной	1	7
42	на фоне	5	7
43	в данном	3	7
44	слова и	7	7
45	то же	12	6
46	так и	7	6
47	при этом	6	6
48	с тем	2	6
49	в их	3	6
50	ничего не	3	6
51	связи с	1	6
52	не может	9	6
53	языка в	1	6
54	могут быть	2	6
55	о том	2	6
56	после того	1	6
57	что и	2	6
58	тот же	2	6
59	что он	3	6
60	для этого	2	6
61	в первом	1	5
62	как мы	1	5
63	я не	5	5
64	в чем	1	5
65	в рамках	4	5
66	все же	2	5
67	как бы	2	5
68	как и	10	5
69	не в	4	5
70	вовсе не	2	5
71	не могут	1	5
72	той или	1	5
73	в поэзии	3	5
74	тем что	4	5
75	далеко не	1	5
76	что же	1	5
77	но это	3	5
78	а в	3	5
79	того же	4	4
80	отношения между	1	4
81	в сущности	3	4
82	столь же	5	4
83	как в	1	4
84	в своем	1	4
85	в целом	2	4
86	ответственность за	1	4
87	в своей	1	4
88	не столько	3	4
89	том чтобы	3	4
90	тому что	1	4
91	тем самым	3	4
92	как раз	2	4
93	и о	1	4
94	в ее	2	4
95	данном случае	3	4
96	пор пока	1	4
97	для нас	2	4
98	а также	2	4
99	тех пор	1	4
100	один из	4	4
101	с одной	7	4
102	что не	2	4
103	слова в	1	4
104	не случайно	4	4
105	русский язык	1	4
106	не было	2	4
107	одной стороны	6	4
108	мы говорим	1	4
109	этом случае	2	4
110	до тех	1	4
111	то что	7	4
112	только как	1	4
113	в таком	1	4
114	в слове	1	4
115	речь идет	3	3
116	я и	4	3
117	на самом	1	3
118	это и	1	3
119	то в	2	3
120	по преимуществу	2	3
121	той же	2	3
122	есть не	1	3
123	мы не	4	3
124	в ней	4	3
125	но не	5	3
126	то он	1	3
127	но как	2	3
128	по отношению	4	3
129	очевидно что	2	3
130	отнюдь не	4	3
131	и к	2	3
132	что слово	1	3
133	что это	1	3
134	он не	5	3
135	и вот	1	3
136	и с	3	3
137	с этой	2	3
