N	3gram	Propp_Isto_7	Narrotol
1	в данном случае	3	8
2	не только в	5	6
3	в том что	4	5
4	не может быть	3	4
5	по отношению к	1	3
6	обращает на себя	1	3
7	в этом и	2	3
8	тем не менее	4	3
9	о том что	5	2
10	состоит в том	1	2
11	в самом деле	1	2
12	то же самое	1	2
13	до сих пор	2	2
14	но и на	1	2
15	друг на друга	1	2
16	но и в	2	2
17	как если бы	1	2
18	в зависимости от	1	2
19	имеем дело с	1	2
20	в связи с	1	2
21	не всегда бывает	1	2
22	муж и жена	1	2
23	не только на	1	2
24	только потому что	1	1
25	мере того как	1	1
26	более или менее	1	1
27	в ответ на	3	1
28	это позволяет нам	1	1
29	по мере того	1	1
30	дело не только	1	1
31	один и тот	1	1
32	же как и	1	1
33	он не может	1	1
34	с другой стороны	8	1
35	с точки зрения	1	1
36	одна из особенностей	1	1
37	прямо не говорится	1	1
38	но в данном	1	1
39	бы то ни	1	1
40	как мы увидим	1	1
41	том что именно	1	1
42	так же в	1	1
43	точно так же	2	1
44	одна из них	1	1
45	на которую претендует	1	1
46	у него нет	1	1
47	не исключено что	1	1
48	в предыдущей главе	1	1
49	в этой связи	1	1
50	в самом начале	1	1
51	как и в	2	1
52	же можно сказать	1	1
53	это не вполне	1	1
54	в первый раз	1	1
55	то ни было	1	1
56	с одной стороны	4	1
57	и тот же	1	1
58	так как это	1	1
59	и потому что	1	1
60	и та же	1	1
61	одна и та	1	1
62	что у него	4	1
63	а не в	1	1
64	мы не можем	2	1
65	он обращается к	1	1
66	одна из этих	2	1
67	но все же	2	1
68	в этих случаях	10	1
69	не отличается от	1	1
70	к тому что	1	1
71	тем более не	1	1
72	мы уже знаем	3	1
73	и т д	16	1
74	как мы видели	1	1
75	не входит в	1	1
