N	3gram	Vygotskiy__3	Poddanst
1	в гораздо большей	1	4
2	не только в	1	4
3	в том что	17	4
4	с точки зрения	1	3
5	сами по себе	3	3
6	с одной стороны	5	3
7	в том числе	1	2
8	заключает в себе	2	2
9	заключается в том	7	2
10	том что в	1	1
11	в том виде	2	1
12	выражается в том	1	1
13	да и не	1	1
14	более или менее	1	1
15	в этом смысле	2	1
16	и в качестве	1	1
17	и в этом	2	1
18	тот или иной	1	1
19	хотя бы и	1	1
20	в отличие от	6	1
21	в естественных условиях	1	1
22	в основном и	1	1
23	в собственном смысле	6	1
24	за то что	1	1
25	что дело идет	1	1
26	не связаны с	1	1
27	вместе с тем	10	1
28	и то что	2	1
29	в применении к	1	1
30	было бы неправильно	2	1
31	так же как	6	1
32	если бы мы	1	1
33	можем представить себе	1	1
34	и наряду с	1	1
35	по сравнению с	3	1
36	с тем же	1	1
37	мы не сумеем	1	1
38	во всяком случае	4	1
39	с другой стороны	3	1
40	не может быть	2	1
41	сменяют друг друга	1	1
42	само по себе	2	1
43	та или иная	3	1
44	вопрос об отношении	2	1
45	на пути к	2	1
46	друг с другом	5	1
47	что уже в	1	1
48	во многих случаях	1	1
49	в известном смысле	2	1
50	для того чтобы	7	1
51	том числе и	1	1
