N	3gram	Savitsky_E_1	Tvorches
1	в то же	15	13
2	то же время	14	12
3	в том что	6	6
4	по нашему мнению	2	5
5	но в то	2	4
6	дело в том	1	3
7	в соответствии с	1	3
8	в одной из	1	2
9	и та же	1	2
10	в данном случае	2	2
11	не только в	4	2
12	можно сказать что	3	2
13	и в то	8	2
14	как и его	1	1
15	не может не	1	1
16	хотя и не	1	1
17	еще далеко не	1	1
18	и того же	1	1
19	чуть ли не	1	1
20	в том же	1	1
21	нам кажется что	2	1
22	что же касается	1	1
23	хотя бы и	3	1
24	говорить о том	1	1
25	в отличие от	1	1
26	связанного с этим	1	1
27	что как бы	1	1
28	не могут быть	1	1
29	то что в	2	1
30	и xix век	1	1
31	бы то ни	4	1
32	заключает в себе	3	1
33	то и другое	1	1
34	мысль о возможности	1	1
35	ту или иную	3	1
36	что оно не	1	1
37	то ни было	4	1
38	с одной стороны	8	1
39	оставляя открытым вопрос	1	1
40	каких бы то	2	1
41	в известном смысле	3	1
42	и будущего в	1	1
43	в связи с	1	1
44	настоящего и будущего	1	1
45	одна и та	1	1
46	то что может	1	1
47	имеет место в	2	1
48	только в качестве	1	1
49	мы находим у	1	1
50	заключается в том	2	1
51	не означает что	1	1
52	в свою очередь	2	1
53	отказаться от своей	1	1
54	это значит что	1	1
55	же время для	1	1
56	с другой стороны	2	1
57	одного и того	1	1
58	сплошь и рядом	2	1
59	к тому что	1	1
60	в отношении к	12	1
61	но тем самым	1	1
62	к тому же	1	1
63	отметить что в	1	1
64	и т д	1	1
