N	3gram	Bakhtin_Fr_3	OGranits
1	с точки зрения	1	5
2	не может быть	2	4
3	по отношению к	2	3
4	вполне понятно что	1	3
5	что иное как	1	2
6	в данном случае	2	2
7	с другой стороны	1	2
8	есть не что	1	2
9	с самого начала	1	2
10	не что иное	1	2
11	в том что	1	2
12	в другом месте	1	1
13	том что в	1	1
14	весь этот материал	1	1
15	но это конечно	1	1
16	что в основе	1	1
17	с одним из	1	1
18	на самом деле	3	1
19	подобно тому как	1	1
20	те же самые	1	1
21	и не может	1	1
22	еще тем что	1	1
23	в отличие от	3	1
24	нет и не	1	1
25	во всем разнообразии	1	1
26	между тем как	1	1
27	только то что	1	1
28	в этом отношении	2	1
29	в собственном смысле	1	1
30	можно было бы	2	1
31	к слову в	1	1
32	может быть и	1	1
33	в значительной мере	1	1
34	и в области	1	1
35	вместе с ними	1	1
36	важное значение имеет	1	1
37	в своей статье	1	1
38	в узком смысле	1	1
39	для того чтобы	3	1
40	в особенности в	1	1
41	все эти три	1	1
42	а также и	3	1
43	эпохи но ведь	1	1
44	и вместе с	1	1
45	в нашу задачу	1	1
46	в связи с	4	1
47	само по себе	1	1
48	прежде всего в	1	1
49	это конечно не	1	1
50	он и не	1	1
51	все то что	2	1
52	во всем своем	1	1
53	в связи со	1	1
54	особенно часто мы	1	1
55	то же время	6	1
56	узком смысле слова	1	1
57	что в ней	1	1
58	включает в себя	1	1
59	но в то	4	1
60	в то же	6	1
61	и следовательно в	1	1
62	тех или иных	1	1
63	и это особенно	1	1
64	в последнем счете	1	1
65	как и в	2	1
