N	3gram	Berdyaev_O_1	DiskursI
1	в том что	1	13
2	о том что	1	5
3	по природе своей	1	5
4	не в том	1	3
5	не может быть	2	3
6	в том плане	1	2
7	а не в	2	2
8	а не только	1	2
9	том что в	1	2
10	может быть осуществлено	1	1
11	не было и	1	1
12	в том случае	1	1
13	о том как	1	1
14	как и в	1	1
15	никогда не было	2	1
16	и прежде всего	1	1
17	и в том	1	1
18	потому что в	1	1
19	и не может	1	1
20	сам по себе	1	1
21	на то что	1	1
22	том случае если	1	1
23	как будто бы	1	1
24	в этом отношении	1	1
25	в строгом смысле	1	1
26	и заключается в	1	1
27	прежде всего в	1	1
28	в нем нет	3	1
29	в россии в	1	1
30	а иногда и	1	1
31	как и все	2	1
32	во всяком случае	1	1
