N	3gram	Tiupa_Teor_1	Hudozhes
1	о том что	1	9
2	то же время	5	8
3	по отношению к	4	8
4	в то же	5	8
5	в том что	8	6
6	дамы с собачкой	1	4
7	к тому что	2	4
8	с точки зрения	3	3
9	но в то	1	3
10	в связи с	1	3
11	несет в себе	2	3
12	в следующей главе	1	3
13	та или иная	1	3
14	тем не менее	3	3
15	как и в	2	3
16	в русской литературе	2	3
17	том что в	1	2
18	по своей природе	2	2
19	с собачкой и	1	2
20	того или иного	3	2
21	ту или иную	1	2
22	как раз в	1	2
23	если говорить о	1	2
24	в значительной степени	1	2
25	так или иначе	4	2
26	не может быть	4	2
27	в конечном счете	6	2
28	к другому человеку	1	2
29	себя в другом	1	1
30	в еще большей	1	1
31	а между тем	1	1
32	кругозора героя и	1	1
33	специфически человеческий способ	1	1
34	как уже говорилось	1	1
35	бы можно было	1	1
36	состоит в том	5	1
37	я никогда не	1	1
38	факторов художественного впечатления	3	1
39	в этом смысле	2	1
40	поэтому вслед за	1	1
41	раз в том	1	1
42	то же самое	1	1
43	точки зрения в	1	1
44	причастной вненаходимости бахтин	1	1
45	в одной из	1	1
46	а тем более	1	1
47	дает ключ к	1	1
48	именно в этом	1	1
49	том случае если	1	1
50	и в то	1	1
51	до известной степени	2	1
52	в иных случаях	1	1
53	а также в	1	1
54	более или менее	2	1
55	в отличие от	6	1
56	при этом не	1	1
57	заключает в себе	1	1
58	до прихода в	2	1
59	облекается в молчание	1	1
60	второй и четвертой	1	1
61	своими корнями в	1	1
62	и несет в	1	1
63	связана с мотивом	1	1
64	в том случае	1	1
65	пласт художественной реальности	1	1
66	тогда как в	2	1
67	содержит в себе	1	1
68	в смерти чиновника	1	1
69	в первом случае	1	1
70	не сводится к	4	1
71	по своему происхождению	1	1
72	в своей эстетической	1	1
73	и потому что	1	1
74	в равной степени	3	1
75	между тем в	1	1
76	художественного мышления и	1	1
77	приводит к тому	2	1
78	еще и потому	1	1
79	как впрочем и	1	1
80	уходит своими корнями	1	1
81	в пределах текста	1	1
82	как бы в	1	1
83	вследствие того что	1	1
84	при всей своей	1	1
85	принципиальное различие между	1	1
86	об этом так	1	1
87	а в том	1	1
88	внутреннего мира личности	1	1
89	в данном случае	5	1
90	внешних и внутренних	1	1
91	состоит как раз	1	1
92	в аспекте его	1	1
93	в свою очередь	2	1
94	никогда не бывает	1	1
95	не только не	2	1
96	человеческий способ существования	1	1
97	и поэтому не	1	1
98	во времени и	1	1
99	по сути дела	1	1
100	места в мире	1	1
101	личности в отношении	1	1
102	об архитектонических формах	1	1
103	друг от друга	1	1
104	в русской культуре	1	1
105	в частности с	1	1
106	см в следующей	1	1
107	у себя в	1	1
108	с одной стороны	2	1
109	как субъекта самоопределения	1	1
110	в литературе в	1	1
111	на первый взгляд	1	1
112	в своей жизни	1	1
