N	2gram	Tiupa_Anal_2	Problema
1	то есть	9	46
2	в его	2	43
3	и не	12	42
4	и в	16	38
5	эстетического объекта	3	37
6	не может	4	27
7	может быть	6	26
8	как бы	10	22
9	по отношению	4	21
10	в художественном	1	20
11	отнюдь не	8	19
12	отношению к	4	19
13	и его	4	16
14	в этом	18	15
15	в нем	1	15
16	и т	1	14
17	только в	4	13
18	прежде всего	3	13
19	независимо от	1	13
20	но не	4	12
21	за пределы	4	12
22	художественного произведения	2	11
23	во всех	4	11
24	ни в	1	11
25	и для	2	11
26	таким образом	2	10
27	в их	3	10
28	материала в	1	10
29	к нему	1	10
30	не только	16	9
31	в поэзии	2	9
32	не имеет	2	9
33	его в	2	9
34	но и	12	9
35	и как	1	8
36	входит в	1	8
37	было бы	3	8
38	точки зрения	4	8
39	место в	3	8
40	для нее	2	8
41	произведения как	2	8
42	в том	12	8
43	то что	7	8
44	еще не	2	7
45	в самом	6	7
46	вообще не	2	7
47	как и	14	7
48	не в	4	7
49	как мы	3	7
50	с другой	6	7
51	между тем	2	7
52	слова в	1	7
53	эстетический анализ	2	7
54	объекта и	2	7
55	но отнюдь	1	7
56	совершенно не	1	7
57	в своей	2	7
58	что в	2	7
59	отношения к	2	6
60	самом деле	1	6
61	на основе	2	6
62	и наконец	1	6
63	в пределах	9	6
64	не к	1	6
65	с точки	2	6
66	не есть	2	6
67	ничего не	9	6
68	дело с	1	6
69	а в	3	6
70	тем как	1	5
71	отличие от	2	5
72	в своем	4	5
73	все эти	1	5
74	при этом	10	5
75	то же	4	5
76	это не	1	5
77	в них	1	5
78	далеко не	1	5
79	в отличие	2	5
80	так и	15	5
81	произведения в	5	5
82	форму в	1	5
83	и о	1	5
84	никогда не	3	5
85	с ним	2	5
86	дело и	1	5
87	а не	10	5
88	могут быть	10	5
89	быть только	1	5
90	эстетическим объектом	1	5
91	все они	1	5
92	имеет место	4	5
93	конечно и	1	4
94	в виду	1	4
95	конечном счете	2	4
96	как в	4	4
97	но в	6	4
98	в нашем	3	4
99	в себе	7	4
100	в данном	8	4
101	объект и	1	4
102	не должна	1	4
103	не менее	4	4
104	тем самым	4	4
105	в то	2	4
106	известной степени	1	4
107	должны быть	1	4
108	в ее	1	4
109	данном случае	5	4
110	в произведении	2	4
111	можно было	3	4
112	не с	4	4
113	о том	7	4
114	в конечном	3	4
115	с ними	3	4
116	композиционная форма	4	4
117	в романе	1	4
118	более того	1	4
119	и потому	1	4
120	себя самого	1	4
121	хотя бы	1	4
122	может и	1	4
123	сказать что	2	4
124	другой стороны	2	4
125	также и	1	3
126	противном случае	1	3
127	едва ли	3	3
128	действительности и	1	3
129	говорить о	6	3
130	композиционных форм	2	3
131	сказать и	1	3
132	и эстетического	1	3
133	и к	5	3
134	в целом	8	3
135	вследствие этого	2	3
136	он не	2	3
137	в мире	6	3
138	а как	2	3
139	и тем	4	3
140	несмотря на	3	3
141	том что	12	3
142	тем не	3	3
143	дело только	1	3
144	на него	2	3
145	как его	1	3
146	в противном	1	3
147	имеем дело	3	3
148	же время	2	3
149	языка в	1	3
150	в применении	1	3
151	хотя и	4	3
152	приводит к	3	3
153	если бы	3	3
154	на ее	1	3
155	иных случаях	1	3
156	этом смысле	2	3
157	одной из	3	3
158	с одной	5	3
159	вопроса о	1	3
160	с действительностью	2	3
161	и даже	9	3
162	себя и	1	3
163	одной стороны	4	3
164	есть лишь	1	3
165	его как	2	3
166	на фоне	3	3
167	только его	1	3
168	и иной	2	3
169	применении к	1	3
170	и на	6	3
171	в тех	1	3
172	здесь совершенно	1	3
173	да и	1	3
174	слова и	1	3
175	но это	1	3
176	все это	4	3
177	не является	1	3
178	за его	1	3
179	и другими	2	3
180	от него	1	3
181	и все	3	3
182	не знает	3	3
183	в таком	2	3
184	все что	2	3
185	произведения но	1	2
186	и должны	1	2
187	определить как	1	2
188	в котором	2	2
189	проникает в	1	2
190	его не	1	2
191	их и	1	2
192	есть не	1	2
193	со всех	1	2
194	мы имеем	3	2
195	эстетическая деятельность	1	2
196	совпадает с	4	2
197	не вполне	1	2
198	я не	1	2
199	имеют место	2	2
200	и он	2	2
201	всех сторон	1	2
202	столь же	4	2
203	в чем	1	2
204	с его	1	2
205	получает от	1	2
206	не все	1	2
207	художественного впечатления	17	2
208	бы ничего	1	2
209	эстетической деятельности	1	2
210	себе не	2	2
211	момент его	2	2
212	бы не	1	2
213	ни одна	1	2
214	ценностную позицию	1	2
215	и те	1	2
216	лица и	1	2
217	на то	2	2
218	не следует	2	2
219	в лирике	1	2
220	на этом	4	2
221	человека в	1	2
222	в каждом	1	2
223	лишь в	9	2
224	не совпадает	1	2
225	место и	1	2
226	и при	1	2
227	или точнее	2	2
228	не его	1	2
229	и более	1	2
230	том же	1	2
231	и вся	1	2
232	раз и	1	2
233	в таких	2	2
234	она не	2	2
235	одна из	1	2
236	связи с	1	2
237	этом отношении	3	2
238	у нас	1	2
239	отличается от	1	2
240	же самое	1	2
241	на материал	1	2
242	что все	2	2
243	самим собою	1	2
244	в себя	4	2
245	особенно в	7	2
246	с самим	3	2
247	поэтому в	1	2
248	и здесь	1	2
249	в другом	1	2
250	и что	1	2
251	в значительной	2	2
252	от них	1	2
253	и во	2	2
254	автор как	1	2
255	к личности	1	2
256	того что	2	2
257	в двух	2	2
258	художественного восприятия	2	2
259	нуждается в	1	2
260	в какой	1	2
261	и ее	1	2
262	себя в	2	2
263	в начале	1	2
264	ни с	2	2
265	что и	3	2
266	вовсе не	2	2
267	которые могут	1	2
268	тем что	3	2
269	или иной	3	2
270	здесь в	2	2
271	миру и	1	2
272	характерно для	1	2
273	но лишь	1	2
274	композиционной организации	1	2
275	в связи	1	2
276	в частности	16	2
277	как это	6	2
278	к своему	2	2
279	по существу	2	2
280	можно сказать	4	2
281	того или	3	2
282	в событие	1	2
283	эстетического бытия	1	2
284	или в	3	2
285	той или	3	2
286	как конститутивный	1	2
287	мы должны	1	2
288	ни к	1	2
289	в этих	2	2
290	в равной	1	2
291	слово в	1	2
292	в свою	1	2
293	была бы	2	2
