N	3gram	Berdyaev_M_2	Vladivir
1	в том что	2	10
2	о том что	2	8
3	с точки зрения	1	6
4	не может быть	8	6
5	в конце концов	1	5
6	и в этом	3	5
7	том что в	1	3
8	что и в	4	3
9	оно не может	1	2
10	также и в	2	2
11	есть прежде всего	5	2
12	сам по себе	1	2
13	в этом отношении	1	2
14	вл соловьев который	1	2
15	то в чем	1	2
16	он никогда не	1	2
17	так же как	3	2
18	а не только	1	2
19	в себе и	1	2
20	на то что	1	2
21	к тому что	3	2
22	что иное как	3	1
23	потому что он	2	1
24	а не к	1	1
25	а следовательно и	1	1
26	не мог бы	1	1
27	потому что в	1	1
28	во зле и	1	1
29	том что это	1	1
30	как и прежде	1	1
31	том что он	1	1
32	я не есть	1	1
33	же как и	3	1
34	все та же	1	1
35	против него но	1	1
36	до сих пор	3	1
37	мира и не	1	1
38	сама по себе	1	1
39	сих пор не	1	1
40	в другом и	1	1
41	не доходит до	2	1
42	всего xix века	1	1
43	у нас нет	1	1
44	у него нет	3	1
45	она должна быть	1	1
46	может быть и	2	1
47	у него была	2	1
48	на эту тему	1	1
49	и в нашем	1	1
50	он уже не	1	1
51	не есть ни	1	1
52	она мало чем	1	1
53	но и его	1	1
54	если бы не	1	1
55	есть не только	1	1
56	в самом себе	1	1
57	для вечной жизни	1	1
58	и должно быть	1	1
59	xix века и	1	1
60	он принадлежит к	1	1
61	чем в более	1	1
62	себе в своем	1	1
63	но сам он	1	1
64	нет ничего кроме	1	1
65	это и есть	3	1
66	к которой он	1	1
67	к добру и	1	1
68	только и можно	1	1
69	никогда и нигде	1	1
70	не может существовать	1	1
71	той или иной	1	1
72	никогда не мог	1	1
73	которые не имеют	1	1
74	что вопрос о	1	1
75	не что иное	3	1
76	в письме к	1	1
77	только потому и	1	1
78	и самого себя	2	1
79	для того чтобы	4	1
80	должно быть в	1	1
