N	2gram	Tiupa_Vved_1	DiskursI
1	в себе	5	19
2	при этом	26	17
3	в этом	21	16
4	как и	11	16
5	состоит в	10	16
6	и в	13	16
7	в качестве	8	16
8	может быть	18	16
9	и не	12	15
10	а не	15	14
11	отличие от	2	12
12	то есть	8	12
13	в отличие	2	12
14	и т.п	9	12
15	в частности	13	12
16	тогда как	10	11
17	но в	6	11
18	представляет собой	15	11
19	в мире	8	11
20	но и	19	11
21	со стороны	5	10
22	не только	20	10
23	том что	7	10
24	своего рода	10	10
25	так и	8	9
26	не может	7	9
27	такого рода	16	9
28	как в	4	8
29	в том	10	8
30	а также	8	8
31	но не	5	7
32	в данном	13	7
33	в рамках	4	7
34	в лирике	1	7
35	картины мира	5	7
36	в нем	5	7
37	художественного письма	7	7
38	не менее	4	7
39	при всей	2	7
40	прежде всего	7	7
41	то же	5	6
42	еще не	7	6
43	данном случае	6	6
44	себя в	1	6
45	отнюдь не	7	6
46	все же	6	6
47	по мысли	5	6
48	в своей	5	6
49	тем самым	5	6
50	по своей	3	6
51	в своих	2	6
52	и на	3	5
53	в противовес	3	5
54	в своем	5	5
55	в противоположность	1	5
56	в то	4	5
57	коммуникативного события	5	5
58	нового времени	3	5
59	с другой	5	5
60	же время	3	5
61	что в	3	5
62	для него	3	5
63	в вероятностном	1	5
64	то что	6	5
65	а с	2	5
66	героя в	1	5
67	в рассказе	6	4
68	вероятностном мире	1	4
69	по отношению	7	4
70	в этой	1	4
71	роль в	1	4
72	человека в	1	4
73	с позиции	2	4
74	в основе	3	4
75	потому что	5	4
76	этом отношении	4	4
77	о том	5	4
78	в пределах	2	4
79	картина мира	12	4
80	одного из	3	4
81	времени в	3	4
82	с одной	5	4
83	в одном	1	4
84	не сводится	4	4
85	картину мира	3	4
86	одной стороны	5	4
87	художественного целого	1	4
88	как бы	4	4
89	ни для	1	4
90	не является	3	4
91	мира и	2	4
92	точки зрения	1	4
93	в период	1	4
94	к его	3	4
95	к этому	2	4
96	отношению к	7	4
97	можно назвать	1	4
98	также и	4	3
99	например в	2	3
100	своего и	2	3
101	в строгом	1	3
102	и ее	1	3
103	в становлении	1	3
104	принадлежит к	3	3
105	столь же	1	3
106	перед нами	6	3
107	и наконец	2	3
108	адресата в	1	3
109	все эти	1	3
110	всей своей	2	3
111	из этих	3	3
112	он не	3	3
113	не следует	3	3
114	с позиций	1	3
115	это не	6	3
116	[...] в	2	3
117	ценностный статус	1	3
118	соответствии с	6	3
119	жизни но	1	3
120	одного и	1	3
121	в этих	3	3
122	в котором	8	3
123	не столько	4	3
124	не в	6	3
125	коммуникативное событие	6	3
126	в тексте	10	3
127	мире и	1	3
128	коммуникативную ситуацию	1	3
129	могут быть	4	3
130	но одновременно	1	3
131	той или	3	3
132	рассказ с	1	3
133	мысль о	1	3
134	приводит к	2	3
135	еще в	2	3
