N	3gram	Vinokur_St_1	VrazhdaK
1	то же время	4	4
2	в то же	4	4
3	он не только	1	2
4	с точки зрения	8	2
5	и что в	1	2
6	как раз в	2	2
7	но в то	2	2
8	не может быть	5	2
9	и о том	1	2
10	в том что	17	2
11	а между тем	1	1
12	да и в	2	1
13	но не менее	1	1
14	далеко не все	1	1
15	в котором он	1	1
16	в этом смысле	1	1
17	в соответствии с	1	1
18	в том же	1	1
19	тем более что	2	1
20	приняты во внимание	1	1
21	но для нас	1	1
22	до сих пор	7	1
23	и не может	1	1
24	в той же	2	1
25	в этом отношении	7	1
26	что в нем	2	1
27	их и не	1	1
28	но это не	1	1
29	точно так же	1	1
30	по крайней мере	2	1
31	и то что	2	1
32	может быть и	2	1
33	быть приняты во	1	1
34	и в то	1	1
35	в это время	1	1
36	но и это	1	1
37	о том как	1	1
38	так же как	3	1
39	но в целом	2	1
40	в конце концов	1	1
41	быть и речи	1	1
42	и в этом	3	1
43	а с другой	1	1
44	и во всей	1	1
45	во всяком случае	6	1
46	с другой стороны	6	1
47	тем не менее	2	1
48	что как раз	1	1
49	что в этой	2	1
50	заключается в том	3	1
51	в то время	2	1
52	о том что	11	1
53	и никогда не	1	1
54	и в самом	3	1
55	на этот раз	2	1
56	может быть иначе	1	1
57	на то что	4	1
58	это не просто	1	1
59	речь идет о	2	1
