N	3gram	Bakhtin_Pr_1	VrazhdaK
1	то же время	3	4
2	в то же	3	4
3	в связи с	1	3
4	с точки зрения	6	2
5	но в то	1	2
6	не может быть	11	2
7	в том что	3	2
8	а между тем	1	1
9	а следовательно и	1	1
10	его в том	1	1
11	далеко не все	1	1
12	равно как и	1	1
13	в этом смысле	3	1
14	в том же	2	1
15	на первый план	2	1
16	до сих пор	1	1
17	и не может	2	1
18	более того в	1	1
19	не было бы	1	1
20	в этом отношении	2	1
21	всего то что	1	1
22	может быть и	1	1
23	и в то	2	1
24	о том как	1	1
25	к вопросу о	1	1
26	в высшей степени	5	1
27	и в этом	1	1
28	с другой стороны	4	1
29	тем не менее	3	1
30	в то время	1	1
31	его отношение к	1	1
32	в свою очередь	1	1
33	это и есть	1	1
34	и в самом	1	1
35	к нему с	1	1
36	на то что	1	1
37	имеется в виду	1	1
