N	2gram	Bakhtin_KF_1	ViktorSh
1	и в	24	2
2	том что	4	2
3	в том	6	2
4	и только	6	1
5	все дело	1	1
6	ни к	2	1
7	в другом	3	1
8	хотя бы	4	1
9	и не	26	1
10	ценное что	1	1
11	и его	17	1
12	потому что	2	1
13	я не	6	1
14	более чем	1	1
15	сводится к	2	1
16	и то	2	1
17	же с	1	1
18	самом деле	3	1
19	и т.д	2	1
20	все это	10	1
21	по поводу	1	1
22	именно в	5	1
23	главным образом	1	1
24	чего не	2	1
25	в их	8	1
26	а значит	2	1
27	дело в	2	1
28	столь же	1	1
29	ведь это	1	1
30	говоря о	1	1
31	в значительной	1	1
32	в самом	1	1
33	только в	16	1
34	то же	5	1
35	ясно что	3	1
36	так как	1	1
37	к чему	3	1
38	не будем	1	1
39	другое дело	2	1
40	но это	6	1
41	что язык	1	1
42	в этом	14	1
43	а только	1	1
44	к этому	2	1
45	значительной степени	1	1
46	за свою	1	1
47	гораздо более	1	1
48	том же	1	1
