N	3gram	Bakhtin_Fr_6	slovoVRo
1	то же время	5	12
2	в то же	5	12
3	в той или	1	9
4	той или иной	1	9
5	с точки зрения	2	8
6	во всех его	3	7
7	в большинстве случаев	4	6
8	пределах того же	1	4
9	и в особенности	2	4
10	как мы сказали	1	4
11	с одной стороны	4	4
12	в пределах того	1	4
13	с другой стороны	2	4
14	большей или меньшей	3	4
15	но в то	1	4
16	в зависимости от	1	3
17	в данном случае	2	3
18	в большей или	3	3
19	или меньшей степени	2	3
20	более или менее	1	3
21	таким образом в	2	3
22	в широком смысле	1	2
23	мы уже сказали	3	2
24	и связанных с	1	2
25	и там где	1	2
26	до сих пор	3	2
27	в лучшем случае	1	2
28	до известной степени	1	2
29	в первом случае	3	2
30	не только в	1	2
31	в то время	1	2
32	а не как	1	2
33	в особенности на	1	2
34	как мы уже	6	2
35	с таким же	1	1
36	прямо сказать что	2	1
37	со всеми его	2	1
38	как раз на	1	1
39	дело в том	1	1
40	как мы видим	1	1
41	и так сказать	1	1
42	в нем самом	1	1
43	в нем и	1	1
44	роман в письмах	1	1
45	в неразрывной связи	1	1
46	но и в	2	1
47	с ним в	1	1
48	на самом же	1	1
49	в этом отношении	3	1
50	в литературе и	2	1
51	его словесного стиля	1	1
52	рано или поздно	1	1
53	плане то есть	1	1
54	вовсе не были	1	1
55	и в истории	1	1
56	со всех сторон	1	1
57	вообще одна из	1	1
58	но и эти	1	1
59	в сущности только	1	1
60	мы все время	1	1
61	связанных с ними	1	1
62	в значительной степени	1	1
63	конечно и в	1	1
64	в меньшей степени	2	1
65	все то в	1	1
66	а также и	2	1
67	в одной плоскости	2	1
68	во всех этих	2	1
69	неразрывной связи с	1	1
70	один из этих	1	1
71	и др все	1	1
72	можно прямо сказать	2	1
73	в разной степени	1	1
74	не может быть	1	1
75	до наших дней	1	1
76	и до наших	1	1
77	не остается никаких	1	1
78	о том что	5	1
79	не является конечно	1	1
80	из самых основных	1	1
81	в одном из	1	1
82	то есть в	2	1
83	и все это	1	1
84	в мыслях в	1	1
85	меньшей степени чем	1	1
86	и прежде всего	2	1
87	можно сказать что	1	1
88	и потому не	1	1
89	существенную роль в	2	1
90	мы видим что	1	1
91	и борьба с	1	1
92	с помощью которых	2	1
93	самом же деле	1	1
94	для того чтобы	1	1
95	в том что	2	1
96	здесь в сущности	1	1
97	и с другой	1	1
