N	3gram	Bakhtin_sl_2	Otkroven
1	от него и	1	4
2	в нем нет	1	3
3	в романах достоевского	1	3
4	для того чтобы	2	3
5	человеке и его	3	2
6	а не в	1	2
7	не может быть	15	2
8	но и в	1	2
9	не могут быть	2	2
10	всегда нуждается в	1	1
11	он в корне	1	1
12	как например в	1	1
13	хотя и не	1	1
14	а вовсе не	2	1
15	том что в	1	1
16	друг к другу	1	1
17	есть не только	1	1
18	он не только	1	1
19	между этими двумя	1	1
20	и не может	1	1
21	во всяком случае	2	1
22	о том что	1	1
23	в этом отношении	3	1
24	прежде всего он	1	1
25	в том что	4	1
26	на то что	1	1
27	и не в	1	1
28	он никогда не	1	1
29	человека в этом	1	1
30	в этих романах	1	1
31	бы и не	1	1
32	а не только	1	1
33	как и в	1	1
34	человеку и его	1	1
