N	3gram	Propp_Morf_1	Dialekti
1	и т д	39	23
2	это значит что	1	21
3	с точки зрения	2	14
4	в таком случае	1	10
5	тем не менее	4	10
6	не может быть	9	6
7	о том что	1	5
8	то это значит	1	4
9	подобно тому как	5	4
10	то время как	3	4
11	в то время	3	4
12	т е не	1	4
13	ни в коем	1	3
14	в коем случае	1	3
15	с одной стороны	1	3
16	в том что	3	3
17	коем случае не	1	3
18	как и в	2	3
19	на то что	2	3
20	хотя и не	1	2
21	хотя бы только	1	2
22	это было бы	1	2
23	но то что	1	2
24	было указано что	1	2
25	но они не	1	2
26	точно так же	1	2
27	с тех пор	1	2
28	и тем не	1	2
29	одно и то	1	2
30	и то же	1	2
31	не могут быть	2	2
32	с другой стороны	4	2
33	во всяком случае	2	2
34	иметь в виду	1	2
35	мы не можем	1	2
36	к тому что	3	2
37	таким образом что	1	1
38	значит что его	1	1
39	и пр и	2	1
40	а потому что	1	1
41	и есть то	1	1
42	в подобных случаях	1	1
43	с логической и	1	1
44	тех пор как	1	1
45	потому что в	1	1
46	на самом деле	4	1
47	то как же	1	1
48	и даже не	1	1
49	во всем ее	1	1
50	и по существу	1	1
51	т д словом	1	1
52	животных и т	1	1
53	до сих пор	1	1
54	друг на друга	2	1
55	в этом отношении	1	1
56	может существовать и	1	1
57	т д таким	1	1
58	в данном случае	1	1
59	далеко не всегда	1	1
60	не значит что	2	1
61	мы скажем что	1	1
62	так как мы	1	1
63	это не значит	2	1
64	или нет? если	1	1
65	но вот мы	1	1
66	она не есть	1	1
67	если же они	1	1
68	но так как	1	1
69	и таким образом	2	1
70	более или менее	2	1
71	ни к чему	2	1
72	теми или другими	1	1
73	к чему не	2	1
74	связи с этим	4	1
75	одна за другой	1	1
76	а не от	1	1
77	т е он	1	1
78	бы то ни	3	1
79	то ни было	2	1
80	мы имеем в	1	1
81	д таким образом	1	1
82	если же в	1	1
83	в связи с	8	1
84	бы только один	1	1
85	мы приходим к	2	1
86	тех или иных	1	1
87	не более как	1	1
88	что и в	1	1
89	того или другого	1	1
