N	3gram	Medvedev_V_1	PoTuStor
1	в этом смысле	1	3
2	до сих пор	1	3
3	и художественного творчества	2	3
4	по крайней мере	2	3
5	мы полагаем что	1	3
6	фрейд и его	1	3
7	по сравнению с	1	3
8	во всяком случае	1	3
9	не может быть	8	3
10	можно сказать что	4	3
11	сознательное и бессознательное	1	2
12	а потому и	1	2
13	и может быть	1	2
14	по аналогии с	1	2
15	так же как	1	2
16	в самом деле	1	2
17	не могут быть	1	2
18	нет никаких оснований	2	2
19	все то что	1	2
20	можно определить как	2	2
21	о том что	3	2
22	в конечном счете	5	2
23	во всех его	2	2
24	если бы он	1	1
25	и не должна	1	1
26	бы он был	1	1
27	его не интересует	1	1
28	имеем в виду	1	1
29	художественного творчества и	1	1
30	подобно тому как	2	1
31	но даже и	1	1
32	то же самое	1	1
33	как это делает	3	1
34	же как и	1	1
35	между собою в	1	1
36	и др и	1	1
37	в этом отношении	13	1
38	так называемое бессознательное	1	1
39	можно было бы	2	1
40	как это было	1	1
41	со всех сторон	1	1
42	с этой точки	1	1
43	вместе с тем	3	1
44	вспомним хотя бы	1	1
45	во время сна	1	1
46	том что мы	1	1
47	не чем иным	1	1
48	в данном случае	1	1
49	с одной стороны	2	1
50	в связи с	3	1
51	очень близко к	1	1
52	как один из	1	1
53	в применении к	1	1
54	имеем дело с	1	1
55	в этом и	2	1
56	в том что	5	1
57	может быть при	1	1
58	этой точки зрения	2	1
59	а вместе с	1	1
60	чем иным как	1	1
61	жизнь в его	1	1
62	это и есть	3	1
63	еще в году	1	1
64	на язык сознания	1	1
65	по его мнению	1	1
66	мы знаем что	2	1
67	и ту же	1	1
68	в каком направлении	1	1
69	таким образом и	1	1
70	в том смысле	1	1
71	для него чисто	1	1
72	в основных чертах	3	1
73	что в них	1	1
74	для того чтобы	3	1
75	одну и ту	1	1
76	может быть даже	1	1
77	как мы знаем	1	1
78	той или иной	1	1
