N	3gram	Vinokur_St_3	Hudozhes
1	в том что	11	11
2	о том что	4	7
3	то же время	3	4
4	в то же	3	4
5	к тому что	2	4
6	в самом деле	1	3
7	не может быть	5	3
8	с одной стороны	2	3
9	для того чтобы	1	3
10	тем не менее	2	3
11	состоит в том	3	2
12	а не в	1	2
13	и в этом	2	2
14	с точки зрения	4	2
15	до сих пор	2	2
16	и т п	6	2
17	можно было бы	1	2
18	то же самое	1	2
19	и сам он	1	2
20	в этом и	1	2
21	не только не	1	2
22	не только в	3	2
23	что все они	1	2
24	и т д	2	2
25	одних и тех	1	1
26	то что я	2	1
27	той или иной	1	1
28	что если бы	2	1
29	в г в	3	1
30	течение всей жизни	1	1
31	но то что	1	1
32	как например в	4	1
33	что он уже	1	1
34	тот или иной	1	1
35	именно то что	1	1
36	и в других	1	1
37	для искусства он	1	1
38	между тем как	2	1
39	в этом отношении	4	1
40	и тех же	1	1
41	а с другой	2	1
42	а иногда и	1	1
43	к жизни и	1	1
44	сказать что они	1	1
45	что это за	2	1
46	приводит к тому	1	1
47	в самом начале	1	1
48	и который в	1	1
49	сих пор мы	1	1
50	тем что он	2	1
51	сказывается и в	1	1
52	что это была	1	1
53	то время как	4	1
54	так или иначе	1	1
55	в течение всей	2	1
56	все более и	2	1
57	которая была бы	1	1
58	и тот и	1	1
59	с другой стороны	4	1
60	на этом пути	1	1
61	что несмотря на	1	1
62	мы имели дело	1	1
63	нельзя сказать что	2	1
64	заключается в том	2	1
65	в то время	4	1
66	этого термина а	1	1
67	и в самом	1	1
68	с самого начала	2	1
69	более и более	2	1
70	но все же	2	1
71	можно сказать что	1	1
72	в молодые годы	1	1
73	можно судить по	1	1
74	в одном из	1	1
75	из этих двух	1	1
76	значении этого термина	1	1
77	и ему хотелось	1	1
