N	3gram	Trubetskoy_1	TeoriaLi
1	по отношению к	1	8
2	в отличие от	1	7
3	в том что	3	6
4	то же время	2	6
5	в то же	2	6
6	в данном случае	1	5
7	состоит в том	1	4
8	более или менее	5	4
9	с другой стороны	1	3
10	тем не менее	3	3
11	можно сказать что	2	3
12	в свою очередь	1	3
13	той или иной	2	3
14	и того же	1	2
15	в слове о	1	2
16	в соответствии с	1	2
17	с точки зрения	6	2
18	о полку игореве	1	2
19	с одной стороны	7	2
20	а с другой	5	2
21	так или иначе	3	2
22	не только не	1	2
23	одного и того	1	2
24	слове о полку	1	2
25	как и ее	1	2
26	не может быть	1	2
27	и в сущности	1	1
28	а между тем	1	1
29	и потому что	2	1
30	этой точки зрения	2	1
31	есть как бы	2	1
32	имеем в виду	1	1
33	в настоящее время	1	1
34	в том числе	5	1
35	в таком случае	1	1
36	и в то	1	1
37	бы то ни	2	1
38	только то что	1	1
39	том числе и	4	1
40	точно так же	3	1
41	во всей своей	1	1
42	по крайней мере	5	1
43	то или иное	2	1
44	случае мы имеем	1	1
45	может быть и	2	1
46	до известной степени	1	1
47	не совпадает с	1	1
48	в первом случае	1	1
49	то ни было	2	1
50	и в этой	1	1
51	в ритмическом отношении	1	1
52	в связи с	3	1
53	еще и потому	1	1
54	в первую очередь	1	1
55	как бы в	1	1
56	так же как	3	1
57	вследствие того что	1	1
58	тем или иным	1	1
59	жизни то есть	1	1
60	в то время	1	1
61	а в том	1	1
62	каждая из которых	1	1
63	но не с	1	1
64	что даже в	1	1
65	к чему не	1	1
66	с этой точки	2	1
67	это и есть	1	1
68	о том что	4	1
69	ни к чему	1	1
70	но в то	1	1
71	именно потому что	1	1
72	мы имеем в	1	1
73	как видно из	1	1
74	для того чтобы	5	1
75	к тому же	4	1
