N	2gram	Bakhtin_Pr_5	Sovremen
1	не может	18	17
2	может быть	14	12
3	точки зрения	7	12
4	таким образом	7	11
5	мы не	1	9
6	в каждом	6	8
7	в этом	14	7
8	и в	35	7
9	каждый раз	1	6
10	мы можем	2	6
11	ничего не	3	6
12	как и	18	6
13	и не	27	6
14	в результате	1	6
15	и наконец	7	5
16	все эти	3	5
17	что же	7	5
18	прежде всего	12	5
19	с точки	2	5
20	в дальнейшем	2	4
21	вопрос о	2	4
22	зависимости от	1	4
23	нет и	4	4
24	мы должны	3	4
25	в том	5	4
26	в целом	3	4
27	из них	3	4
28	же это	1	4
29	так как	4	4
30	мы видели	2	4
31	не только	10	4
32	как бы	31	4
33	вместе с	2	4
34	это не	3	4
35	их в	2	4
36	а в	7	4
37	он может	1	3
38	в первом	2	3
39	с самого	8	3
40	то же	15	3
41	и т.д	3	3
42	но мы	1	3
43	видели что	1	3
44	отнюдь не	1	3
45	все же	8	3
46	еще не	7	3
47	но в	19	3
48	он в	4	3
49	у каждого	1	3
50	в этой	1	3
51	в себе	5	3
52	уже в	3	3
53	как он	2	3
54	ведь это	1	3
55	в одном	6	3
56	в конце	5	3
57	в нем	16	3
58	при этом	2	3
59	и мы	1	3
60	было бы	3	3
61	само собою	1	3
62	а не	4	3
63	и потому	1	3
64	не в	10	3
65	все это	14	3
66	самого начала	8	3
67	одна из	1	3
68	и все	15	3
69	и к	12	3
70	когда мы	1	3
71	отличается от	1	3
72	к действию	1	3
73	как мы	8	2
74	свою очередь	1	2
75	приводит к	2	2
76	роль в	1	2
77	все те	1	2
78	той же	2	2
79	времени и	2	2
80	на этом	2	2
81	для его	2	2
82	и даже	5	2
83	говорить о	3	2
84	только так	2	2
85	и что	6	2
86	на другом	1	2
87	и во	3	2
88	самом деле	10	2
89	в его	21	2
90	с совершенно	1	2
91	с этим	3	2
92	быть и	2	2
93	некоторое время	1	2
94	в самом	6	2
95	к чему	1	2
96	в которой	2	2
97	что это	4	2
98	с одной	1	2
