N	2gram	Vygotskiy__5	Mirosoze
1	может быть	9	30
2	не только	16	29
3	и в	16	28
4	не может	18	28
5	но и	6	25
6	а не	10	25
7	он не	8	24
8	в этом	25	20
9	не было	1	18
10	у него	6	17
11	не в	6	16
12	потому что	21	16
13	в ней	2	15
14	в своей	2	15
15	и есть	7	14
16	он был	1	14
17	никогда не	5	14
18	до конца	3	14
19	в нем	7	13
20	и он	1	12
21	и это	1	12
22	в самом	4	11
23	для него	5	11
24	и не	12	11
25	в своем	5	10
26	было бы	10	10
27	что в	16	10
28	прежде всего	3	10
29	что он	25	10
30	и потому	2	10
31	и все	1	10
32	с тем	3	9
33	но он	7	9
34	и его	3	9
35	не есть	4	9
36	в его	11	9
37	из самых	1	8
38	в котором	2	8
39	но не	10	8
40	но в	6	7
41	в себе	1	7
42	в конце	1	7
43	в самой	1	7
44	к нему	3	7
45	того что	16	7
46	должна быть	5	6
47	и на	6	6
48	он сам	1	6
49	в которой	5	6
50	лишь в	1	6
51	в этой	6	6
52	только в	10	6
53	вместе с	4	6
54	все это	2	6
55	в том	18	6
56	если он	2	5
57	от нее	1	5
58	это не	4	5
59	как и	8	5
60	у нас	2	5
61	не могут	4	5
62	то что	26	5
63	смысле слова	1	4
64	отношения к	2	4
65	это и	3	4
66	есть не	2	4
67	отношение к	11	4
68	за пределы	4	4
69	привести к	1	4
70	чем его	3	4
71	не как	1	4
72	и по	4	4
73	должен был	1	4
74	в них	2	4
75	в этих	3	4
76	точки зрения	18	4
77	в их	3	4
78	к ней	1	4
79	она не	1	4
80	мог бы	1	4
81	что и	3	4
82	значит что	5	4
83	один из	1	4
84	уже в	1	4
85	а в	3	4
86	тем что	5	4
87	и вместе	1	4
88	и там	1	4
89	с этой	4	4
90	которых он	2	4
91	от него	1	4
92	не знает	5	4
93	с его	1	3
94	с этим	3	3
95	когда он	2	3
96	на этом	3	3
97	вращается вокруг	1	3
98	и с	3	3
99	его в	2	3
100	в жизни	2	3
101	только одно	1	3
102	том что	15	3
103	но если	6	3
104	не имеет	4	3
105	ничего не	5	3
106	в момент	2	3
107	к тому	6	3
108	этот путь	2	3
109	в ее	1	3
110	учение о	2	3
111	начинается в	2	3
112	все его	1	3
113	нет у	1	3
114	себя в	1	3
115	не так	1	3
116	и их	4	3
117	так как	16	3
118	себя и	2	3
119	ко всем	1	3
120	это есть	4	3
121	это значит	5	3
122	должно быть	8	3
123	он должен	5	3
124	для нас	1	3
125	хотя бы	5	3
126	в свете	4	3
127	мы увидим	1	3
128	одним из	2	2
129	также и	1	2
130	в этот	2	2
131	связана с	1	2
132	высшей степени	2	2
133	вопрос о	12	2
134	который был	1	2
135	время как	4	2
136	в виду	2	2
137	по отношению	12	2
138	человеку и	1	2
139	а две	1	2
140	относится к	1	2
141	в истории	2	2
142	в центре	2	2
143	как в	5	2
144	к новому	1	2
145	все же	3	2
146	и как	3	2
147	и к	2	2
148	за собой	1	2
149	он в	3	2
150	все эти	4	2
151	приводит к	7	2
152	с их	4	2
153	только один	2	2
154	вообще не	4	2
155	как он	6	2
156	если бы	8	2
157	приходят к	1	2
158	к миру	1	2
159	с ней	1	2
160	прежде чем	1	2
161	тому чтобы	4	2
162	через все	1	2
163	входит в	1	2
164	на протяжении	2	2
165	свою противоположность	1	2
166	вопрос и	1	2
167	в ином	1	2
168	чем в	3	2
169	место в	1	2
170	мысли и	5	2
171	от его	1	2
172	сих пор	3	2
173	всегда остается	1	2
174	с которой	1	2
175	в то	5	2
176	к этим	1	2
177	в основе	8	2
178	того чтобы	17	2
179	по своей	3	2
180	и сама	1	2
181	в каком	1	2
182	есть только	1	2
183	могут быть	4	2
184	отличается от	1	2
185	как для	1	2
186	отношения и	2	2
187	он мог	1	2
188	и от	2	2
189	то время	4	2
190	и что	12	2
191	есть также	1	2
192	еще в	3	2
193	по сравнению	5	2
194	с ним	5	2
195	о том	8	2
196	может не	1	2
197	и во	1	2
198	своему значению	1	2
199	и те	1	2
200	мы видим	4	2
201	жизни и	2	2
202	никто не	2	2
203	нет никаких	1	2
204	отношению к	12	2
205	как будто	2	2
206	для того	14	2
207	в высшей	2	2
208	до сих	3	2
209	и самый	1	2
210	на этот	4	2
211	долгое время	1	2
212	о чем	2	2
213	его собственной	1	2
214	есть одно	1	2
215	по своему	3	2
216	в той	6	2
217	как бы	5	2
218	сам не	1	2
219	том смысле	1	2
220	в начале	1	2
221	в более	2	2
222	и для	1	2
223	не существует	1	2
224	бы в	4	2
225	отношении к	1	2
226	что без	1	2
227	в свою	4	2
228	сказать что	13	2
229	к этой	3	2
230	к этому	3	2
231	все что	2	2
232	эта новая	1	1
233	ту же	2	1
234	через которые	2	1
235	и то	4	1
236	на самом	1	1
237	переход от	7	1
238	между двумя	3	1
239	к другому	1	1
240	в зависимости	2	1
241	должна сделать	1	1
242	ней нет	1	1
243	мы имеем	1	1
244	мы не	3	1
245	и ничего	1	1
246	установить что	2	1
247	имеет свою	3	1
248	во внутреннем	1	1
249	но она	1	1
250	что иное	1	1
251	принадлежит к	2	1
252	в деле	1	1
253	я не	2	1
254	то это	2	1
255	есть совершенно	2	1
256	зависимости от	2	1
257	не способен	2	1
258	внутреннюю природу	1	1
259	и состоит	1	1
260	себе а	1	1
261	собой в	1	1
262	меньше чем	1	1
263	еще не	4	1
264	иное как	1	1
265	во всех	2	1
266	то мы	1	1
267	самом деле	3	1
268	друг к	1	1
269	него чем	1	1
270	если в	3	1
271	отличие от	2	1
272	что они	5	1
273	которые не	2	1
274	более чем	1	1
275	в одной	1	1
276	его на	2	1
277	как к	1	1
278	отвечает не	1	1
279	что совершается	1	1
280	кто не	1	1
281	сознания в	3	1
282	отношение между	4	1
283	говорит что	5	1
284	через всю	1	1
285	что составляет	1	1
286	что же	1	1
287	сущности и	1	1
288	имеем в	1	1
289	неизбежно должны	1	1
290	потребности в	2	1
291	которой не	1	1
292	ключ к	1	1
293	и почему	1	1
294	с именем	1	1
295	нее и	1	1
296	к одному	2	1
297	этого вопроса	3	1
298	в силу	10	1
299	есть один	1	1
300	сознание как	1	1
301	с таким	3	1
302	своего пути	1	1
303	от низших	1	1
304	в плане	1	1
305	из него	1	1
306	не разрешает	1	1
307	момент когда	2	1
308	который с	2	1
309	и заключается	1	1
310	значительной степени	1	1
311	в каждом	1	1
312	котором она	2	1
313	которые уже	1	1
314	как они	3	1
315	в состоянии	4	1
316	значение в	3	1
317	к другу	1	1
318	говорил что	1	1
319	первый и	2	1
320	на все	5	1
321	в понимании	1	1
322	еще большей	1	1
323	бесконечно важно	1	1
324	знает что	2	1
325	это было	1	1
326	не умеет	3	1
327	не совпадает	2	1
328	центральное место	1	1
329	зрения и	1	1
330	и заимствования	1	1
331	после этого	1	1
332	моего сознания	1	1
333	быть поставлено	2	1
334	которой он	1	1
335	всегда и	1	1
336	хотя в	1	1
337	нисколько не	1	1
338	в царстве	1	1
339	же есть	1	1
340	закона и	1	1
341	к тем	1	1
342	этой связи	1	1
343	в такой	5	1
344	она в	1	1
345	знает и	1	1
346	понимал что	1	1
347	он дает	1	1
348	это верно	1	1
349	в отличие	2	1
350	стоит в	4	1
351	мысли во	2	1
352	что я	2	1
353	не путем	1	1
354	должны были	2	1
355	ответить на	4	1
356	ума это	1	1
357	точку зрения	1	1
358	обращение к	1	1
359	и эти	2	1
360	и более	3	1
361	вовсе не	2	1
362	в отношении	9	1
363	как будет	1	1
364	не менее	3	1
365	ничего кроме	1	1
366	чтобы иметь	1	1
367	в обоих	1	1
368	что ему	1	1
369	занимает центральное	1	1
370	мысли в	4	1
371	этими двумя	2	1
372	он еще	2	1
373	когда они	1	1
374	в самых	4	1
375	не могло	1	1
376	мышления и	4	1
377	казалось бы	4	1
378	находятся в	2	1
379	такова что	1	1
380	а во	1	1
381	такая же	1	1
382	во всем	2	1
383	и после	1	1
384	ничто не	2	1
385	не до	2	1
386	в области	12	1
387	не потому	1	1
388	от того	3	1
389	в духе	1	1
390	переносятся в	1	1
391	оно не	1	1
392	эпоху в	1	1
393	другой поэтому	1	1
394	приходит к	3	1
395	из всего	1	1
396	и о	1	1
397	порядком и	1	1
398	будет видно	1	1
399	не могу	1	1
400	и этим	1	1
401	в пределах	4	1
402	не столько	1	1
403	должна предшествовать	1	1
404	природе своей	1	1
405	можно было	5	1
406	так и	7	1
407	иное отношение	3	1
408	означает не	1	1
409	существенным для	1	1
410	и даже	2	1
411	новых и	1	1
412	из величайших	1	1
413	об этом	1	1
414	связанная с	2	1
415	находится в	2	1
416	средством для	2	1
417	именно потому	2	1
418	понять как	2	1
419	но к	1	1
420	и поэтому	2	1
421	одного из	1	1
422	заключается в	5	1
423	существенное в	1	1
