N	3gram	Trubetskoy_1	Literetu
1	в том что	7	11
2	состоит в том	1	5
3	то же время	10	5
4	в то же	10	5
5	в данном случае	3	4
6	в связи с	1	4
7	прежде всего в	1	3
8	и прежде всего	1	3
9	в том же	1	3
10	дело в том	1	2
11	по отношению к	1	2
12	с точки зрения	9	2
13	только в том	2	2
14	в этом отношении	1	2
15	и то что	3	2
16	но при этом	1	2
17	во всяком случае	6	2
18	о том что	2	2
19	и тем самым	2	2
20	тем не менее	1	2
21	в другом месте	1	1
22	может быть назван	1	1
23	между прочим и	1	1
24	на самом деле	6	1
25	на то что	4	1
26	во многих случаях	1	1
27	прочим и как	1	1
28	и не только	1	1
29	по отношению ко	1	1
30	бы то ни	4	1
31	лишь тогда когда	1	1
32	к тому чтобы	4	1
33	можно было бы	3	1
34	перед нами не	1	1
35	тот или иной	1	1
36	в лучшем случае	3	1
37	по крайней мере	1	1
38	не подлежит сомнению	1	1
39	жизни и в	1	1
40	и в частности	1	1
41	в значительной степени	1	1
42	оградить себя от	1	1
43	но в то	1	1
44	в самом деле	1	1
45	на первый взгляд	1	1
46	жизни но и	1	1
47	и в этом	1	1
48	для всей русской	1	1
49	внутри себя в	1	1
50	без особых объяснений	1	1
51	в этом и	1	1
52	не может быть	4	1
53	или иной культурной	1	1
54	в этом есть	1	1
55	только то что	1	1
56	в свою очередь	1	1
57	и того же	1	1
58	до сих пор	5	1
59	с самого начала	1	1
60	но и от	1	1
61	но все же	1	1
62	то ни было	1	1
63	одного и того	1	1
64	тем более что	1	1
65	средства воздействия на	1	1
66	в большинстве случаев	2	1
67	в том числе	1	1
68	тех или иных	1	1
69	по этому пути	1	1
70	не только от	1	1
71	быть не может	1	1
72	в полной мере	1	1
73	к тому же	1	1
74	и этот последний	1	1
75	том что для	1	1
