N	3gram	Vinokur_Vv_1	Psycholo
1	для того чтобы	21	19
2	в том что	12	14
3	с одной стороны	4	12
4	что в этом	2	6
5	в зависимости от	1	6
6	о том что	12	6
7	заключается в том	3	6
8	к тому что	1	6
9	в самом деле	5	5
10	до сих пор	5	5
11	совершенно ясно что	1	5
12	с другой стороны	5	5
13	по сравнению с	3	4
14	заключает в себе	1	4
15	тот факт что	1	4
16	по этому поводу	2	4
17	никак не может	1	3
18	то же самое	2	3
19	в лучшем случае	1	3
20	сам по себе	1	3
21	вместе с тем	3	3
22	из того что	1	3
23	с тем что	3	3
24	на этот вопрос	3	3
25	и то что	2	3
26	одно и то	1	3
27	и то же	1	3
28	которая существует между	1	3
29	о котором мы	1	3
30	с самого начала	1	3
31	и т п	5	3
32	можно было бы	3	3
33	и т д	37	3
34	в этом отношении	3	3
35	и того же	2	2
36	что иное как	4	2
37	тех пор пока	1	2
38	имеет дело с	2	2
39	состоит в том	2	2
40	потому что в	1	2
41	то о чем	1	2
42	и той же	2	2
43	одного и того	2	2
44	в этом случае	6	2
45	может быть и	2	2
46	с точки зрения	2	2
47	принять во внимание	2	2
48	в отличие от	3	2
49	обратить внимание на	2	2
50	бы сказать что	1	2
51	потому что он	2	2
52	одной и той	2	2
53	так же как	1	2
54	в данном случае	4	2
55	в том чтобы	5	2
56	ничего не может	1	2
57	не только в	4	2
58	в конце концов	2	2
59	зависимости от того	1	2
60	чтобы увидеть что	1	2
61	ответ на этот	1	2
62	все то что	1	2
63	по себе не	1	2
64	потому что все	1	2
65	само по себе	3	2
66	не может быть	8	2
67	и в самом	3	2
68	вопрос о том	5	2
69	не что иное	4	2
70	что это есть	1	2
71	той или иной	1	2
72	можно сказать что	3	2
73	и в результате	1	2
74	до тех пор	1	2
75	показывает что в	1	2
76	на самом деле	1	2
77	том что в	1	1
78	том что с	1	1
79	в том виде	3	1
80	как мы помним	1	1
81	по его словам	1	1
82	на том что	2	1
83	и есть то	1	1
84	между тем мы	1	1
85	он должен быть	1	1
86	том виде как	1	1
87	только потому что	1	1
88	о том насколько	1	1
89	с такого же	1	1
90	дело в том	2	1
91	мы имеем в	1	1
92	по отношению к	4	1
93	одной из этих	1	1
94	том факте что	1	1
95	было бы назвать	1	1
96	в этом смысле	10	1
97	во многих случаях	1	1
98	идет речь в	1	1
99	действительно по своему	1	1
100	влечет за собой	2	1
101	что это только	1	1
102	а в том	1	1
103	одной стороны и	3	1
104	и в этом	3	1
105	когда говорил что	1	1
106	именно на этом	2	1
107	и даже прямо	1	1
108	как раз наоборот	1	1
109	нужно принять во	1	1
110	в другом месте	2	1
111	и именно в	3	1
112	только то что	1	1
113	увидим что оно	1	1
114	что в нем	2	1
115	и для того	1	1
116	в каждом данном	2	1
117	том или ином	1	1
118	и др в	1	1
119	всегда заключает в	1	1
120	в значительной мере	1	1
121	в большей мере	2	1
122	с этой точки	1	1
123	по крайней мере	4	1
124	как если бы	1	1
125	и не в	1	1
126	то или иное	1	1
127	не то что	1	1
128	что даже и	1	1
129	между языком и	1	1
130	если же мы	1	1
131	в применении к	6	1
132	в том или	1	1
133	того чтобы он	2	1
134	тому о чем	1	1
135	имеет еще и	1	1
136	в самом процессе	1	1
137	то для того	1	1
138	и его школой	1	1
139	на задний план	1	1
140	смысле этого слова	2	1
141	в каждой из	1	1
142	это состоит в	1	1
143	как один из	1	1
144	потому что она	1	1
145	как будто бы	2	1
146	связь между языком	1	1
147	т д мы	1	1
148	по тому же	1	1
149	не могут быть	2	1
150	имеем дело с	1	1
151	но вместе с	2	1
152	именно в этом	3	1
153	того чтобы сделать	1	1
154	не только о	1	1
155	не есть еще	1	1
156	иное как именно	1	1
157	в своих исследованиях	1	1
158	и в том	3	1
159	в дополнение к	1	1
160	этой точки зрения	1	1
161	прямо противоположный тому	1	1
162	того или иного	1	1
163	в частности в	1	1
164	каждом данном случае	1	1
165	в русском языке	1	1
166	собственном смысле слова	1	1
167	в большей части	2	1
168	когда мы говорим	1	1
169	самом деле есть	1	1
170	то обстоятельство что	1	1
171	в свою очередь	1	1
172	в собственном смысле	2	1
173	после того как	2	1
174	в том факте	1	1
175	между ними и	1	1
176	в целом ряде	2	1
177	заключены в самом	1	1
178	его и это	1	1
179	но во всяком	1	1
180	именно для того	1	1
181	и о которой	1	1
182	мы имеем дело	1	1
183	если принять во	1	1
184	и сказывается в	1	1
185	обратим внимание на	1	1
186	что обе эти	1	1
187	искусстве и именно	1	1
