N	3gram	Losev_Vlad_2	EvropaiC
1	в том что	9	16
2	до сих пор	1	12
3	с точки зрения	3	8
4	более или менее	3	7
5	на то что	2	7
6	для того чтобы	1	6
7	в самом деле	1	5
8	в этом случае	1	4
9	сих пор не	1	4
10	может быть и	1	4
11	к тому же	1	4
12	не может быть	1	4
13	о том что	3	4
14	тем не менее	6	4
15	в конце концов	3	4
16	не может не	1	3
17	в настоящее время	2	3
18	в том же	2	3
19	и то что	5	3
20	в данном случае	2	3
21	так или иначе	3	3
22	в связи с	8	3
23	заключается в том	2	3
24	том что он	2	2
25	что же касается	5	2
26	он все же	1	2
27	только то что	1	2
28	бы то ни	1	2
29	он не может	1	2
30	то же время	3	2
31	вместе с тем	1	2
32	каждый из этих	1	2
33	у него с	1	2
34	во всяком случае	6	2
35	что несмотря на	1	2
36	в свою очередь	2	2
37	ничего общего с	1	2
38	но все же	1	2
39	ко всему этому	2	2
40	в то же	3	2
41	и в том	1	2
42	и в конце	1	1
43	заключающие в себе	1	1
44	а для того	1	1
45	хотя и не	2	1
46	на той ступени	1	1
47	дело в том	3	1
48	конце концов в	1	1
49	на том же	1	1
50	то время как	1	1
51	мы уже сказали	1	1
52	не говоря уже	2	1
53	что для этого	1	1
54	никак не может	1	1
55	самого начала в	1	1
56	здесь не было	2	1
57	они не могут	1	1
58	ввиду того что	2	1
59	говоря уже о	2	1
60	хотя и прикрытые	1	1
61	для этого нужно	1	1
62	также и то	1	1
63	у него в	3	1
64	если бы человечество	1	1
65	а может быть	1	1
66	за то что	1	1
67	точно так же	3	1
68	по крайней мере	4	1
69	в его жилах	1	1
70	в тот же	1	1
71	все дело заключается	1	1
72	выше мы уже	1	1
73	не забудем что	1	1
74	что во всех	1	1
75	в высшей степени	1	1
76	а в с	1	1
77	до некоторой степени	2	1
78	как тот же	1	1
79	в его сознании	1	1
80	как и вообще	1	1
81	и с этой	1	1
82	к одному из	1	1
83	не в том	3	1
84	или вовсе не	1	1
85	к концу этого	1	1
86	а это было	1	1
87	дело заключается в	1	1
88	но вместе с	1	1
89	он вместе с	1	1
90	со своей стороны	1	1
91	а в том	2	1
92	и все же	2	1
93	мы сказали выше	1	1
94	до тех пор	1	1
95	в то время	6	1
96	с самого начала	1	1
97	из этих элементов	1	1
98	несмотря на все	2	1
99	и в сознании	1	1
100	даже и при	1	1
101	ни тем более	1	1
102	на земле в	1	1
103	в том числе	1	1
104	не без влияния	1	1
105	самом деле если	1	1
106	пока еще не	1	1
107	как мы видели	2	1
108	и в нем	1	1
109	этот вопрос в	1	1
110	что так как	1	1
111	только тогда когда	1	1
112	как мы знаем	4	1
113	том что только	1	1
