N	2gram	Tiupa_Anal_1	VelikijI
1	и не	21	20
2	и в	18	16
3	так как	2	9
4	то что	6	9
5	еще не	3	8
6	а не	17	7
7	и потому	2	7
8	человека и	1	6
9	не есть	8	6
10	на себя	2	5
11	но и	17	5
12	по пути	1	5
13	того что	4	5
14	хотя и	1	5
15	в мире	8	5
16	как бы	5	5
17	о счастье	1	5
18	и есть	3	4
19	в его	13	4
20	в этом	13	4
21	что он	3	4
22	потому что	2	4
23	в нем	3	4
24	так и	4	4
25	что все	1	4
26	что не	3	4
27	как и	13	4
28	что мы	3	4
29	смысла жизни	3	4
30	в котором	3	4
31	мировой жизни	1	4
32	в ней	1	4
33	и все	3	4
34	это еще	1	4
35	все что	1	4
36	этого мира	1	3
37	и что	1	3
38	должна быть	1	3
39	хотя бы	3	3
40	как не	1	3
41	лишь в	5	3
42	в чем	1	3
43	с его	3	3
44	во всех	1	3
45	что и	3	3
46	в том	27	3
47	тот же	1	3
48	но в	8	3
49	по этому	1	3
50	все эти	2	3
51	за ним	1	3
52	от которого	2	3
53	их в	1	3
54	в своей	6	3
55	ни в	4	3
56	в них	1	3
57	не было	1	3
58	должно быть	2	3
59	если не	1	3
60	в этих	1	3
61	нет ничего	2	3
62	не в	14	3
63	тому что	1	3
64	этих трех	1	3
65	но это	1	3
66	никогда не	2	3
67	личности и	1	3
68	превращается в	1	3
69	и для	1	3
70	к тому	7	3
71	жизни и	1	3
72	что в	5	3
73	людей в	1	3
74	оно не	1	3
75	того чтобы	3	2
76	и то	2	2
77	от своей	1	2
78	но мы	1	2
79	и сам	2	2
80	и т	3	2
81	мы не	1	2
82	с ним	4	2
83	под этим	1	2
84	в личности	2	2
85	ее и	1	2
86	быть личностью	1	2
87	и во	1	2
88	между тем	5	2
89	нет и	2	2
90	вслед за	1	2
91	не с	4	2
92	человека как	1	2
93	его к	2	2
94	только в	6	2
95	личности а	2	2
96	в себя	6	2
97	уже не	4	2
98	не только	15	2
99	вера в	1	2
100	его и	2	2
101	не так	1	2
102	для него	2	2
103	не к	2	2
104	личного и	1	2
105	на том	1	2
106	не будет	3	2
107	это не	6	2
108	а с	3	2
109	прежде всего	6	2
110	для них	1	2
111	все равно	1	2
112	с тем	1	2
113	мы и	1	2
114	один из	2	2
115	для человека	1	2
116	и тогда	2	2
117	мира в	2	2
118	более чем	4	2
119	зачем же	1	2
120	этому пути	1	2
121	не могут	3	2
122	является в	1	2
123	да и	1	2
124	личность как	1	2
125	одна из	1	2
126	том что	12	2
127	для нас	1	2
128	от него	1	2
129	ее в	1	2
130	есть уже	1	2
131	а в	9	2
132	но не	10	2
133	могут быть	4	2
134	всего в	1	2
135	во всяком	1	2
136	речь идет	1	1
137	как мы	2	1
138	быть может	2	1
139	в виду	1	1
140	для себя	2	1
141	в ее	1	1
142	царем и	1	1
143	и до	2	1
144	роль в	2	1
145	нем но	1	1
146	он всегда	1	1
147	не имеют	1	1
148	мы будем	1	1
149	если они	1	1
150	то же	9	1
151	игру с	1	1
152	человеческого бытия	2	1
153	в результате	1	1
154	вопрос о	2	1
155	смысл бытия	1	1
156	я не	1	1
157	и ее	1	1
158	зависимости от	1	1
159	как сам	1	1
160	в их	5	1
161	и на	5	1
162	он был	1	1
163	теперь и	1	1
164	людей как	1	1
