N	2gram	Tiupa_Vved_1	Narrotol
1	не только	20	31
2	но и	19	27
3	и не	12	23
4	при этом	26	19
5	может быть	18	15
6	в качестве	8	14
7	в частности	13	14
8	как и	11	13
9	в тексте	10	13
10	а не	15	13
11	а в	6	13
12	в этом	21	12
13	только в	6	12
14	и в	13	11
15	в данном	13	11
16	тогда как	10	10
17	состоит в	10	10
18	своего рода	10	10
19	и его	5	10
20	такого рода	16	10
21	то есть	8	9
22	времени и	7	9
23	во времени	2	9
24	то что	6	9
25	то же	5	8
26	представляет собой	15	8
27	иначе говоря	6	8
28	не может	7	8
29	данном случае	6	8
30	в том	10	8
31	событийного опыта	4	8
32	уже не	5	8
33	со стороны	5	8
34	и т.п	9	8
35	в рассказе	6	8
36	но в	6	7
37	том что	7	7
38	если бы	7	7
39	на протяжении	1	7
40	у него	1	7
41	современной нарратологии	4	6
42	и он	1	6
43	в самом	2	6
44	не в	6	6
45	в этой	1	6
46	в себе	5	6
47	тому же	4	6
48	об этом	4	6
49	не мог	1	6
50	к тому	6	6
51	у чехова	1	6
52	и т.д	5	6
53	одного из	3	6
54	во втором	2	6
55	в его	4	6
56	вольф шмид	4	6
57	как бы	4	6
58	один из	3	6
59	как раз	2	6
60	или в	1	6
61	и пространстве	1	6
62	а также	8	6
63	жизни и	7	6
64	между двумя	3	5
65	и на	3	5
66	той или	3	5
67	как правило	6	5
68	перед нами	6	5
69	событийный статус	6	5
70	рассказа в	1	5
71	так и	8	5
72	несобственно-прямой речи	2	5
73	точки зрения	1	5
74	в своей	5	5
75	тем самым	5	5
76	потому что	5	5
77	событие в	1	5
78	можно сказать	4	5
79	точка зрения	3	5
80	действующих лиц	2	5
81	в соответствии	6	5
82	повествуемого мира	6	5
83	столь же	1	5
84	то в	1	4
85	в первом	2	4
86	на себя	1	4
87	еще не	7	4
88	истории в	5	4
89	чеховского повествования	1	4
90	но не	5	4
91	как в	4	4
92	все же	6	4
93	хотя и	7	4
94	из этих	3	4
95	в нем	5	4
96	в принципе	1	4
97	статус события	3	4
98	в мире	8	4
99	рассказываемой истории	4	4
100	из них	1	4
101	по себе	2	4
102	и тем	2	4
103	соответствии с	6	4
104	с позиции	2	4
105	в одном	1	4
106	вплоть до	1	4
107	в то	4	4
108	одна из	4	4
109	не по	1	4
110	того чтобы	1	4
111	никогда не	4	4
112	в сознании	4	4
113	что на	2	4
114	нарративная история	1	4
115	к себе	1	4
116	в ней	4	4
117	так в	4	4
118	что у	1	4
119	кадры ментального	2	4
120	о том	5	4
121	внимание на	3	4
122	же время	3	4
123	а во	1	4
124	к нему	1	4
125	нарративных структур	2	4
126	и судия	2	4
127	нарративного текста	5	4
128	в литературе	2	4
129	того что	6	4
130	являет собой	2	4
131	для него	3	4
132	слова в	2	4
133	у нее	2	4
134	или иной	3	4
135	прежде всего	7	4
136	о чем	2	4
137	мира в	8	4
138	в речи	2	4
139	чужого слова	3	4
140	этом и	2	4
141	эпизоды и	2	4
142	и конца	1	4
143	однако и	2	4
144	в третьем	1	4
145	или не	2	4
146	имеет место	4	4
147	ментального видения	4	4
148	и состоит	1	4
149	пожирание котят	1	3
150	как известно	1	3
151	речь идет	1	3
152	также и	4	3
153	самом деле	3	3
154	свидетель и	2	3
155	идет о	1	3
156	нарративные практики	3	3
157	едва ли	3	3
158	всего лишь	5	3
159	мы имеем	5	3
160	мы не	4	3
161	современная нарратология	4	3
162	он сам	1	3
163	но как	1	3
164	в противовес	3	3
165	повествуемой истории	4	3
166	в центре	2	3
167	в своем	5	3
168	создает эффект	2	3
169	к чему	1	3
170	в целом	3	3
171	в нашем	6	3
172	большей части	3	3
173	центрального персонажа	1	3
174	нарративных кадров	4	3
175	нарративной истории	2	3
176	но именно	1	3
177	он не	3	3
178	подобно тому	2	3
179	и с	2	3
180	вольфа шмида	3	3
181	при которой	3	3
182	это не	6	3
183	художественного письма	7	3
184	по мысли	5	3
185	начала и	2	3
186	в воспринимающем	1	3
187	в жизни	4	3
188	кругозора и	1	3
189	в слове	3	3
190	не всегда	2	3
191	в современной	3	3
192	и конец	2	3
193	в ходе	2	3
194	и ее	1	3
195	стало быть	7	3
196	тем не	3	3
197	их в	2	3
198	однако в	4	3
199	не менее	4	3
200	но они	2	3
201	и событийность	1	3
202	на эпизоды	1	3
203	картины мира	5	3
204	о них	3	3
205	присутствия в	7	3
206	вербализация наррации	1	3
207	как будто	4	3
208	этом отношении	4	3
209	у нас	1	3
210	начиная с	3	3
211	истории не	1	3
212	событийности в	4	3
213	золотого сечения	1	3
214	и о	1	3
215	но при	5	3
216	более дробные	1	3
217	еще в	2	3
218	когда в	2	3
219	различного рода	3	3
