N	2gram	Berdyaev_V_1	Komedia
1	и в	16	22
2	и не	20	21
3	том что	2	13
4	в том	3	12
5	так как	9	11
6	ни в	3	10
7	потому что	4	10
8	в самом	1	9
9	вместе с	1	9
10	в этом	4	8
11	в глазах	1	8
12	в своем	1	8
13	в его	4	8
14	что и	3	8
15	что он	4	8
16	то же	1	7
17	не по	1	7
18	в конце	3	7
19	о чем	1	7
20	а в	2	7
21	еще не	8	6
22	к тому	3	6
23	того чтобы	2	6
24	и что	3	6
25	для того	1	6
26	может быть	1	6
27	к этому	1	6
28	речь идет	1	5
29	отношение к	1	5
30	более чем	2	5
31	но в	3	5
32	не только	2	5
33	в своей	3	5
34	в которых	1	5
35	то это	3	5
36	iv в	1	5
37	и сам	2	5
38	хотя и	5	5
39	с ним	2	5
40	любви к	1	5
41	к нему	1	5
42	что в	3	5
43	тем что	2	5
44	прежде всего	2	5
45	как это	1	5
46	все это	5	5
47	и т	2	4
48	на себя	5	4
49	в ней	4	4
50	он был	1	4
51	с другой	1	4
52	нет и	2	4
53	все же	1	4
54	то что	9	4
55	но все	1	4
56	и с	1	4
57	с тем	2	4
58	не в	3	4
59	на него	1	4
60	у него	1	4
61	так и	4	4
62	вовсе не	1	4
63	но и	5	4
64	ничем не	1	4
65	а не	7	4
66	и для	3	4
67	бы в	1	4
68	хотя бы	3	4
69	так же	1	4
70	говорить о	4	3
71	с его	3	3
72	в ее	1	3
73	в которой	1	3
74	в этой	1	3
75	в нем	4	3
76	то ни	1	3
77	в них	3	3
78	все равно	2	3
79	как и	4	3
80	их в	3	3
81	к ним	1	3
82	не имеет	3	3
83	никогда не	3	3
84	ничего не	1	3
85	он так	1	3
86	и мы	3	3
87	любовь к	3	3
88	в двух	1	3
89	что не	4	3
90	не так	2	3
91	один из	2	3
92	если не	3	3
93	конечно не	2	3
94	как бы	5	3
95	с этой	1	3
96	в целом	1	3
97	еще больше	1	3
98	все что	4	3
99	во всяком	2	3
100	человека и	6	2
101	его не	2	2
102	мы не	2	2
103	с радостью	1	2
104	и на	1	2
105	бы то	1	2
106	во всех	3	2
107	в изображении	1	2
108	он говорит	1	2
109	что они	7	2
110	и я	4	2
111	как в	1	2
112	в результате	1	2
113	и хотя	1	2
114	и если	1	2
115	о которой	1	2
116	от людей	1	2
117	людей и	2	2
118	человека в	1	2
119	в мире	5	2
120	не с	2	2
121	это не	2	2
122	я говорю	2	2
123	в котором	4	2
124	в их	1	2
125	в одном	1	2
126	тому что	3	2
127	она не	1	2
128	что их	2	2
129	за то	3	2
130	в руки	1	2
