N	3gram	Potebnia_M_3	Sotsiolo
1	в том что	16	2
2	не в том	5	2
3	по отношению к	5	2
4	а между тем	2	1
5	только то что	1	1
6	это зависит от	1	1
7	по крайней мере	5	1
8	то же самое	1	1
9	именно в том	2	1
10	сама по себе	2	1
11	том что это	1	1
12	друг от друга	1	1
13	быть не только	1	1
14	в то же	5	1
15	это дает нам	1	1
16	а тем более	1	1
17	и стало быть	1	1
18	отношению к субъекту	1	1
19	а в том	5	1
20	то же время	5	1
21	в противном случае	1	1
22	и должны служить	1	1
23	с одной стороны	3	1
24	дает нам право	1	1
