N	2gram	Tiupa_Lite_2	slovoVRo
1	в романе	1	46
2	и в	19	39
3	может быть	17	37
4	и т	2	35
5	и его	3	33
6	т п	2	33
7	то есть	5	26
8	не только	8	24
9	и не	11	22
10	но и	10	21
11	не может	9	20
12	в нем	3	19
13	до конца	2	17
14	в этом	9	16
15	так и	7	15
16	а не	20	14
17	отличие от	1	13
18	как в	1	13
19	в пределах	1	13
20	слова в	1	13
21	во всех	3	12
22	в отличие	1	12
23	в истории	2	11
24	вовсе не	2	10
25	к своему	2	9
26	и с	3	9
27	не в	4	9
28	со своим	1	9
29	таким образом	1	8
30	себя в	6	8
31	прежде всего	4	8
32	слова и	7	8
33	точки зрения	4	8
34	еще не	2	7
35	в него	2	7
36	при этом	6	7
37	в этих	1	7
38	для него	4	7
39	с ним	2	7
40	никогда не	3	7
41	могут быть	2	7
42	как мы	1	7
43	в его	4	7
44	и даже	8	7
45	и потому	1	7
46	как бы	2	7
47	в сущности	3	6
48	но не	5	6
49	в своем	1	6
50	все же	2	6
51	и к	2	6
52	но в	2	6
53	все эти	1	6
54	в них	2	6
55	в слове	1	6
56	как и	10	6
57	языка в	1	6
58	человек в	1	6
59	этом случае	2	6
60	жизни и	4	6
61	героя и	1	5
62	человека в	4	5
63	это не	1	5
64	том что	7	5
65	мышления и	1	5
66	не могут	1	5
67	той или	1	5
68	мира и	1	5
69	с другой	8	5
70	один из	4	5
71	в том	10	5
72	с одной	7	5
73	уже не	2	5
74	со словом	1	5
75	одной стороны	6	5
76	или иной	1	5
77	и для	3	5
78	для нас	2	5
79	от него	1	5
80	и все	1	5
81	и наконец	2	5
82	отношения к	1	4
83	его не	1	4
84	и на	6	4
85	по отношению	4	4
86	всех этих	1	4
87	то же	12	4
88	слова не	1	4
89	его в	1	4
90	с другими	1	4
91	и иных	2	4
92	в отношении	1	4
93	слова к	1	4
94	не менее	6	4
95	в то	9	4
96	одна из	5	4
97	в основе	2	4
98	же время	9	4
99	во всем	1	4
100	здесь не	1	4
101	для этого	2	4
102	наконец в	2	4
103	дело с	1	4
104	для всех	5	4
105	и других	4	4
106	так как	3	4
107	даже и	2	4
108	и др	3	4
109	себя и	2	4
110	на фоне	5	4
111	в основном	1	4
112	в смысле	1	4
113	а в	3	4
114	отношении к	1	4
115	отношению к	3	4
116	в таком	1	4
117	ту же	2	3
118	как это	2	3
119	должна быть	1	3
120	той же	2	3
121	в чем	1	3
122	в собственном	1	3
123	стороны и	1	3
124	и как	3	3
125	на этом	2	3
126	не с	3	3
127	с точки	3	3
128	не столько	3	3
129	связи с	1	3
130	этом отношении	3	3
131	в ней	4	3
132	исторической жизни	1	3
133	а также	2	3
134	что и	2	3
135	него нет	1	3
136	у него	2	3
137	рядом с	1	3
138	в особенности	1	3
139	в свою	1	3
140	стремится к	1	3
141	как к	3	3
