N	2gram	Medvedev_F_1	BTomashe
1	у нас	5	3
2	и не	20	2
3	в ней	10	2
4	литературных произведений	3	2
5	все это	9	2
6	говорить о	1	1
7	со всем	3	1
8	во всяком	4	1
9	с другой	5	1
10	вопрос о	2	1
11	совершенно не	1	1
12	переходя к	1	1
13	по теории	1	1
14	литературы как	3	1
15	в своей	11	1
16	остановиться на	2	1
17	художественного произведения	23	1
18	между ними	3	1
19	своей книге	2	1
20	всяком случае	4	1
21	и о	1	1
22	в области	3	1
23	самостоятельная и	1	1
24	является изучение	1	1
25	до конца	7	1
26	и ее	10	1
27	о художественном	1	1
28	теоретической и	1	1
29	на которой	1	1
30	что формалисты	2	1
31	и в	24	1
32	так и	18	1
33	художественном произведении	3	1
34	поэтика должна	2	1
35	за пределы	2	1
36	стиля и	2	1
37	не о	3	1
38	установка на	1	1
39	также что	1	1
40	также не	1	1
41	не было	3	1
42	и во	1	1
43	должна быть	7	1
44	почти совершенно	2	1
45	кроме того	1	1
46	было бы	6	1
47	отнюдь не	6	1
48	одной из	2	1
49	поэтики и	1	1
50	в научном	1	1
51	далеко не	1	1
52	и потому	9	1
53	в пределах	6	1
54	чем на	1	1
55	и исторической	1	1
56	формалистической поэтики	1	1
57	все же	3	1
58	его не	2	1
59	иначе не	1	1
60	выходит за	1	1
61	меньше чем	1	1
62	и более	2	1
63	прежде всего	22	1
64	творчества и	1	1
65	что в	4	1
66	таким образом	13	1
67	к ней	2	1
68	всего в	3	1
69	а о	1	1
70	еще не	6	1
71	не только	7	1
72	в данном	1	1
73	не следует	1	1
74	и на	8	1
75	на самом	7	1
76	другой стороны	1	1
77	из ее	1	1
78	тем более	1	1
79	а не	10	1
