N	3gram	Medvedev_F_3	Komedia
1	до сих пор	1	9
2	в том что	3	9
3	в самом деле	4	6
4	для того чтобы	4	6
5	в то же	7	4
6	о том что	1	4
7	то же время	7	4
8	с самого начала	1	4
9	по отношению к	3	3
10	о том как	2	3
11	с точки зрения	14	3
12	и т п	5	3
13	вместе с тем	3	3
14	в связи с	4	3
15	во всяком случае	6	3
16	и в самом	1	3
17	с одной стороны	1	3
18	тем не менее	2	3
19	то же самое	3	3
20	иначе обстоит дело	3	2
21	хотя и не	1	2
22	так или иначе	1	2
23	в этом случае	1	2
24	бы то ни	4	2
25	он и не	1	2
26	в этом отношении	3	2
27	т е в	1	2
28	то ни было	4	2
29	в конце концов	2	2
30	обстоит дело с	3	2
31	с другой стороны	5	2
32	но все же	1	2
33	именно потому что	2	2
34	но и все	1	1
35	потому что он	3	1
36	не могла быть	1	1
37	в виду что	1	1
38	сходятся в одной	1	1
39	равно как и	2	1
40	и чаще всего	1	1
41	имеем в виду	1	1
42	подобно тому как	4	1
43	в том числе	1	1
44	так и не	1	1
45	на первый план	1	1
46	мы еще вернемся	1	1
47	и в то	2	1
48	в зависимости от	5	1
49	в отличие от	2	1
50	но и здесь	1	1
51	и не может	4	1
52	на то что	1	1
53	этом случае в	1	1
54	и не нуждается	2	1
55	может быть только	2	1
56	с этой точки	1	1
57	вопрос связанный с	1	1
58	того чтобы не	1	1
59	в настоящее время	1	1
60	не сводится к	1	1
61	но при всем	1	1
62	только один из	1	1
63	друг друга в	2	1
64	зависимости от того	1	1
65	одну за другой	1	1
66	но при этом	1	1
67	это не так	1	1
68	можно считать только	1	1
69	и ничем не	1	1
70	со стороны его	2	1
71	этой точки зрения	1	1
72	но столь же	1	1
73	достигается тем что	1	1
74	так и в	2	1
75	можно сказать что	1	1
76	он был бы	1	1
77	точки зрения самого	2	1
78	и никогда не	1	1
79	можно сделать вывод	1	1
80	нуждается в существенном	1	1
81	то при этом	1	1
82	быть только один	1	1
83	мы имеем в	1	1
84	один вопрос связанный	1	1
85	как мы знаем	4	1
86	к тому что	2	1
87	т е о	1	1
88	в отношении к	1	1
89	друг с другом	1	1
90	вовсе не является	3	1
91	сделать вывод что	1	1
92	и между ними	2	1
93	друг друга и	1	1
94	так как он	1	1
95	не нуждается в	1	1
96	еще один вопрос	1	1
97	в том же	1	1
98	для нас важно	1	1
99	том числе и	1	1
100	и т д	6	1
