N	2gram	Nazirov_Tr_1	VerxiiNi
1	и в	18	26
2	таким образом	1	22
3	с тем	2	18
4	в этом	9	15
5	вместе с	1	15
6	как бы	7	12
7	в том	2	11
8	не только	8	10
9	и с	7	10
10	может быть	7	10
11	связи с	1	9
12	в области	1	9
13	но и	4	9
14	что в	4	9
15	но не	1	8
16	в общем	1	8
17	и не	7	8
18	но в	6	7
19	но все	2	7
20	том что	4	7
21	потому что	2	7
22	в эпоху	1	7
23	к нему	3	7
24	с одной	1	7
25	то что	4	7
26	представление о	1	6
27	все же	5	6
28	все эти	3	6
29	в себе	4	6
30	всяком случае	1	6
31	к тому	2	6
32	так и	5	6
33	и т.д	1	6
34	о том	2	6
35	в конце	3	6
36	что и	2	6
37	несмотря на	5	6
38	и потому	1	6
39	все это	4	6
40	во всяком	1	6
41	отношение к	2	5
42	в мире	3	5
43	лишь в	1	5
44	не имеет	2	5
45	того чтобы	1	5
46	никогда не	2	5
47	в его	3	5
48	а не	1	5
49	к жизни	5	5
50	так же	4	5
51	сравняться с	1	5
52	в котором	1	4
53	то же	5	4
54	в самом	2	4
55	в этой	4	4
56	и по	1	4
57	что все	2	4
58	то есть	3	4
59	он не	2	4
60	в то	5	4
61	в нем	4	4
62	что оно	1	4
63	и что	4	4
64	только в	1	4
65	и вместе	1	4
66	на этот	1	4
67	ничем не	2	4
68	не может	5	4
69	и от	1	4
70	что он	6	4
71	в виде	2	4
72	на западе	1	3
73	не вполне	1	3
74	к сожалению	1	3
75	в своем	3	3
76	и как	3	3
77	в которой	1	3
78	что это	5	3
79	и если	1	3
80	при этом	3	3
81	и при	1	3
82	тем не	1	3
83	не менее	1	3
84	представляет собой	1	3
85	и о	1	3
86	с самого	1	3
87	на нее	1	3
88	того что	1	3
89	хотя бы	1	3
90	так что	2	3
91	уже не	2	3
92	что эти	2	3
93	для него	3	3
94	в одном	2	3
95	к ним	1	3
96	и даже	4	3
97	в связи	1	3
98	с этой	1	3
99	в результате	1	3
100	конце концов	1	3
101	в таком	2	3
102	точно так	2	3
103	одним из	1	2
104	и это	2	2
105	имя его	1	2
106	смотреть на	1	2
107	еще не	4	2
108	и на	7	2
109	с его	2	2
110	во всех	1	2
111	силы и	1	2
112	что именно	1	2
113	и наконец	1	2
114	он в	1	2
115	не могла	1	2
116	перестает быть	1	2
117	не к	1	2
118	не как	1	2
119	на все	1	2
120	в глазах	2	2
121	в них	1	2
122	творца и	1	2
123	но если	1	2
124	взгляд на	1	2
125	не в	2	2
126	в россии	1	2
127	вплоть до	1	2
128	самого начала	1	2
129	этими двумя	2	2
130	связан и	1	2
131	только не	1	2
132	в самой	1	2
133	же время	6	2
134	в русском	2	2
135	ему в	1	2
136	ли это	1	2
137	и здесь	2	2
138	не могут	2	2
139	утверждать что	1	2
140	время он	1	2
141	но при	2	2
142	в образе	6	2
143	по сравнению	1	2
144	мысль о	1	2
145	в виду	1	2
146	с того	1	2
147	а также	1	2
148	добра и	1	2
149	между тем	1	2
150	по своей	1	2
151	один из	3	2
152	между этими	2	2
153	уже в	3	2
154	эти черты	1	2
155	свидетельствует о	1	2
156	одно из	1	2
157	из своих	2	2
158	русской интеллигенции	1	2
159	именно в	1	2
160	прежде всего	4	2
161	не было	1	2
162	может ли	1	2
163	и все	4	2
164	виде в	1	2
165	и особенно	1	2
166	сравнению с	1	2
167	тем и	1	2
168	при таком	1	2
169	из себя	1	2
170	только что	1	2
171	ко всему	1	2
172	эта новая	1	1
173	только он	1	1
174	к людям	3	1
175	вряд ли	2	1
176	в сфере	1	1
177	чтобы не	1	1
178	а между	1	1
179	самом деле	1	1
180	это и	1	1
181	и есть	1	1
182	что когда	1	1
183	в первом	2	1
184	и до	2	1
185	и могут	1	1
186	той же	1	1
187	а как	2	1
188	не встречает	1	1
189	для достижения	1	1
190	прошлом в	1	1
191	что уже	1	1
192	бы и	2	1
193	очень скоро	1	1
194	в ней	1	1
195	и силе	1	1
196	подобного нет	1	1
197	на них	1	1
198	быть в	1	1
199	в чем	1	1
200	отличие от	2	1
201	к своей	1	1
202	друга и	1	1
203	даже некоторые	1	1
204	материалом для	1	1
