N	3gram	Voloshinov_1	Tragedij
1	то же время	5	5
2	в то же	5	5
3	так и в	2	3
4	в отличие от	1	2
5	и в дальнейшем	1	2
6	в данном случае	3	2
7	но в то	3	2
8	не в силах	2	2
9	о том что	1	2
10	но все же	1	2
11	в том что	4	2
12	в этом случае	1	1
13	а между тем	1	1
14	с отцом и	2	1
15	ни разу не	1	1
16	в таком виде	1	1
17	том что он	2	1
18	и до конца	3	1
19	это желание в	1	1
20	и не может	1	1
21	во всех видах	1	1
22	в этой борьбе	1	1
23	хотя бы и	2	1
24	сам по себе	2	1
25	что он не	1	1
26	объясняется и то	1	1
27	это как бы	2	1
28	чем он сам	2	1
29	откуда же берется	1	1
30	во всяком случае	3	1
31	в высшей степени	2	1
32	в чем же	1	1
33	но при этом	1	1
34	по сравнению с	1	1
35	тем не менее	2	1
36	не могут быть	3	1
37	начала и до	1	1
38	отцом и его	1	1
39	то что он	1	1
40	что при таком	1	1
41	не может быть	3	1
42	на вопрос о	1	1
43	приходит в голову	1	1
44	только на путях	1	1
45	отнюдь не является	1	1
46	это и есть	1	1
47	с самого начала	5	1
48	в самом деле	5	1
