N	3gram	Vinokur_St_3	Myslijsy
1	в том что	11	13
2	не может быть	5	9
3	тем не менее	2	6
4	и в этом	2	6
5	с другой стороны	4	5
6	потому что в	1	4
7	смысле в каком	1	4
8	но и в	2	4
9	не в том	3	4
10	в свою очередь	1	4
11	в этом смысле	4	4
12	в том смысле	2	4
13	только тогда когда	2	4
14	и т д	2	4
15	с точки зрения	4	3
16	с тем что	3	3
17	том смысле в	1	3
18	с одной стороны	2	3
19	и той же	1	3
20	то же время	3	3
21	с самого начала	2	3
22	не только в	3	3
23	в то же	3	3
24	одной и той	1	3
25	все более и	2	2
26	и может быть	1	2
27	так как в	1	2
28	а потому что	2	2
29	что по мнению	1	2
30	в г д	2	2
31	по крайней мере	4	2
32	к тому что	2	2
33	в применении к	1	2
34	для того чтобы	1	2
35	не только не	1	2
36	более и более	2	2
37	и т п	6	2
38	каждая из этих	1	1
39	в том виде	1	1
40	а второй в	1	1
41	может быть назван	2	1
42	того что в	1	1
43	в каждом отдельном	1	1
44	а не в	1	1
45	но так как	1	1
46	и для самого	1	1
47	не говоря уже	1	1
48	но то что	1	1
49	на самом деле	1	1
50	во многих случаях	1	1
51	того или другого	1	1
52	что рядом с	1	1
53	бы не только	1	1
54	говоря уже о	1	1
55	первому из этих	1	1
56	сам по себе	1	1
57	же объясняется и	1	1
58	в какой форме	1	1
59	не потому что	1	1
60	сказать несколько слов	1	1
61	в этом отношении	4	1
62	то что в	1	1
63	том что именно	1	1
64	в собственном смысле	1	1
65	до сих пор	2	1
66	но это не	3	1
67	виде в каком	1	1
68	можно было бы	1	1
69	потому что для	1	1
70	что если бы	2	1
71	с этой точки	1	1
72	и в этих	2	1
73	тем что мы	1	1
74	более или менее	1	1
75	может быть не	1	1
76	от того что	1	1
77	что мы имеем	2	1
78	заключается в том	2	1
79	в связи с	3	1
80	носит на себе	1	1
81	это не так	2	1
82	смотреть как на	1	1
83	независимо от этого	1	1
84	во всяком случае	4	1
85	в одно целое	1	1
86	не выходила за	1	1
87	сказать об отношении	1	1
88	между тем как	2	1
89	что несмотря на	1	1
90	том виде в	1	1
91	тем что в	2	1
92	том смысле что	1	1
93	в то время	4	1
94	ни для кого	1	1
95	о том что	4	1
96	в одном из	1	1
97	этой точки зрения	1	1
98	мы видим у	1	1
99	вопрос о том	1	1
100	отношении его к	1	1
101	не менее в	1	1
102	тогда когда мы	1	1
103	но все же	2	1
104	а не на	1	1
105	которого он не	1	1
106	на то что	3	1
107	а в г	1	1
108	что все они	1	1
109	таким образом в	1	1
110	что в них	1	1
111	к первому из	1	1
112	не вдаваясь в	1	1
113	можно и должно	1	1
114	как мы видели	1	1
