1	в том что	6	11
2	с точки зрения	2	9
3	для того чтобы	1	8
4	с одной стороны	2	5
5	с другой стороны	3	5
6	о том что	1	3
7	это имеет место	1	2
8	не совпадает с	1	2
9	и как бы	1	2
10	больше и больше	1	2
11	одно и то	2	2
12	имеет место в	1	2
13	в русской поэзии	2	2
14	между тем в	1	2
15	мы видим в	1	2
16	в данном случае	5	2
17	в свою очередь	3	2
18	в то время	1	2
19	только то что	1	2
20	и то же	2	2
21	и в сущности	1	1
22	а с другой	2	1
23	о мире и	1	1
24	таким образом и	1	1
25	никак не может	1	1
26	в евгении онегине	1	1
27	того или иного	5	1
28	что одна из	1	1
29	как это имеет	1	1
30	в основе своей	1	1
31	в отличие от	7	1
32	что он не	1	1
33	и здесь мы	1	1
34	может быть и	1	1
35	имеем в виду	1	1
36	с собою в	1	1
37	или менее определенным	1	1
38	каждой из них	1	1
39	в себя и	1	1
40	не в самом	2	1
41	она могла бы	1	1
42	не только не	2	1
43	а между тем	1	1
44	с этой точки	1	1
45	который может быть	1	1
46	а в том	1	1
47	не может быть	2	1
48	к тому же	1	1
49	более или менее	4	1
50	и не могла	1	1
51	мере в какой	1	1
52	том случае если	1	1
53	в том и	1	1
54	это было бы	1	1
55	как бы в	1	1
56	можно сказать что	3	1
57	что автор должен	1	1
58	мы в итоге	1	1
59	состоит в том	4	1
60	если бы рассказ	1	1
61	в том случае	1	1
62	на две части	1	1
63	подобно тому как	1	1
64	дело не в	1	1
65	в целом ряде	1	1
66	таким образом что	1	1
67	автора и читателя	1	1
68	оно состоит в	1	1
69	как раз в	1	1
70	этой точки зрения	1	1
71	здесь мы имеем	1	1
