N	2gram	Medvedev_U_1	Narrotol
1	не только	10	31
2	но и	4	27
3	и не	8	23
4	может быть	6	15
5	в качестве	1	14
6	в частности	3	14
7	как и	3	13
8	а не	10	13
9	в этом	7	12
10	только в	2	12
11	и в	14	11
12	в данном	1	11
13	то есть	1	9
14	то что	7	9
15	не может	7	8
16	иначе говоря	1	8
17	в том	2	8
18	данном случае	1	8
19	то же	5	8
20	уже не	1	8
21	у него	1	7
22	если бы	2	7
23	но в	3	7
24	том что	2	7
25	в себе	2	6
26	как раз	2	6
27	не в	2	6
28	об этом	1	6
29	в самом	2	6
30	в его	2	6
31	и т.д	3	6
32	в этой	4	6
33	можно сказать	1	5
34	так и	1	5
35	в своей	3	5
36	все же	3	4
37	же время	3	4
38	прежде всего	8	4
39	в нем	1	4
40	по себе	2	4
41	но не	2	4
42	для него	3	4
43	того что	1	4
44	никогда не	1	4
45	в то	3	4
46	о чем	2	4
47	с его	2	4
48	о том	1	4
49	в ней	1	4
50	всего лишь	1	3
51	и с	2	3
52	но для	1	3
53	может служить	1	3
54	у нас	3	3
55	не было	1	3
56	и все	1	3
57	мы не	2	3
58	сводится к	2	3
59	что в	1	3
60	а для	1	3
61	быть не	1	3
62	между тем	2	3
63	это не	3	3
64	в противовес	2	3
65	начала и	1	3
66	мы имеем	1	3
67	в конечном	4	3
68	еще раз	1	3
69	не существует	1	3
70	этом отношении	2	3
71	он не	1	3
72	их в	1	3
73	самом деле	2	3
74	что он	2	3
75	и то	3	3
76	это уже	2	3
77	о нем	1	3
78	но именно	1	3
79	в своем	1	3
80	входит в	1	2
81	на то	1	2
82	было и	1	2
83	другой стороны	3	2
84	и для	2	2
85	и является	2	2
86	большей или	1	2
87	или просто	1	2
88	в произведении	1	2
89	сих пор	2	2
90	отнюдь не	1	2
91	его и	2	2
92	хотя бы	5	2
93	не вполне	1	2
94	в конце	2	2
95	до сих	2	2
96	столько же	1	2
97	и только	5	2
98	детали как	1	2
99	этого не	1	2
100	в той	1	2
101	и даже	1	2
102	значимость и	1	2
103	и через	2	2
104	в сфере	1	2
105	сказать что	1	2
106	ничего не	2	2
107	не о	3	2
108	а о	2	2
109	в таком	1	2
110	а его	2	2
111	мы можем	1	2
112	она не	1	2
113	до конца	1	2
114	сводятся к	1	2
115	что мы	2	2
116	в известном	1	2
117	нас в	2	2
118	с другой	4	2
119	если не	2	2
120	не столь	1	2
121	меньшей степени	2	2
122	же в	1	2
123	в области	3	2
124	это было	2	2
125	в наиболее	1	2
126	она в	1	2
127	ни от	2	2
128	в пределах	1	2
129	же самое	2	2
130	все что	1	2
131	он уже	1	2
132	он и	1	2
133	историю в	1	2
134	любопытно что	1	1
135	одним из	2	1
136	в которой	1	1
137	материал для	2	1
138	смысле можно	1	1
139	в искусстве	6	1
140	для всех	2	1
141	этого построения	1	1
142	него уже	1	1
143	от которой	1	1
144	приводит к	1	1
145	в значительной	1	1
146	в свое	1	1
147	его на	1	1
148	надо было	2	1
149	мы и	2	1
150	в не	1	1
151	это то	1	1
152	бы то	3	1
153	для этого	3	1
154	в преодолении	1	1
155	даже не	1	1
156	крайней мере	2	1
157	таким образом	2	1
158	бы ни	1	1
159	его собственному	1	1
160	в последние	1	1
161	не входит	1	1
162	которое мы	1	1
163	друг с	1	1
164	в их	4	1
165	то ни	3	1
166	само по	1	1
167	с тем	1	1
168	это верно	1	1
169	по его	1	1
170	восемь лет	1	1
171	или даже	1	1
172	в итоге	2	1
173	или меньшей	1	1
174	как принцип	2	1
175	художественное произведение	5	1
176	его как	1	1
177	словами как	1	1
178	не меньшей	1	1
179	произведение как	1	1
180	впервые в	1	1
181	с другом	1	1
182	правило не	1	1
183	сам автор	1	1
184	случае он	1	1
185	под понятие	1	1
186	произведения как	1	1
187	со своими	1	1
188	и делает	1	1
189	из которых	1	1
190	в различных	1	1
191	слова а	1	1
192	в большей	1	1
193	в период	1	1
194	которой и	1	1
195	и слово	1	1
196	то и	1	1
197	конечном счете	4	1
198	тот же	1	1
199	о котором	1	1
200	что было	1	1
201	не то	1	1
202	не все	2	1
203	но тут	1	1
204	с которыми	1	1
205	разрыв с	1	1
206	и потому	1	1
207	при таком	2	1
208	он был	1	1
209	тем что	2	1
210	этого термина	2	1
211	той же	1	1
212	что для	1	1
213	или менее	1	1
214	вопроса о	2	1
215	по мнению	1	1
216	что еще	1	1
217	более или	1	1
218	сам по	1	1
219	и всей	1	1
220	сдвиг в	1	1
221	но даже	2	1
222	по крайней	2	1
223	содержание в	1	1
224	же как	1	1
225	могут быть	2	1
226	в котором	1	1
227	того как	1	1
228	с одной	1	1
229	может обойтись	1	1
230	что и	2	1
231	далеко не	1	1
232	что этот	1	1
233	одной стороны	1	1
234	не как	3	1
235	не случайно	2	1
236	направлено на	1	1
237	тем более	1	1
238	не приходится	2	1
239	или точнее	3	1
240	в исторической	1	1
241	все они	2	1
242	думает о	1	1
243	ни было	3	1
244	роль не	2	1
245	и вся	1	1
246	все это	5	1
247	и у	2	1
248	является в	2	1
249	в которых	1	1
250	к этому	1	1
251	говорить не	1	1
252	что она	2	1
253	на роль	1	1
254	для наиболее	1	1
255	быть в	1	1
256	в виду	1	1
257	конструктивный принцип	1	1
258	обращение к	1	1
259	ней не	1	1
260	для читателя	1	1
261	своей работе	1	1
262	но это	2	1
