N	2gram	Nazirov_Tv_2	IolandNe
1	и с	8	3
2	записок из	1	2
3	и не	9	2
4	должен быть	1	2
5	творчества достоевского	1	2
6	в этом	8	2
7	он не	3	2
8	ничего не	4	2
9	самого себя	1	2
10	что в	7	2
11	о достоевском	2	2
12	писателя а	1	1
13	смердякова и	1	1
14	что для	1	1
15	все эти	4	1
16	с другой	2	1
17	о жизни	3	1
18	с а	1	1
19	и и	1	1
20	для него	3	1
21	зигмунд фрейд	1	1
22	преступления и	2	1
23	отношению к	3	1
24	под редакцией	1	1
25	и о	1	1
26	не так	2	1
27	говорить о	2	1
28	же это	1	1
29	без этого	1	1
30	не дает	1	1
31	вплоть до	1	1
32	в целом	6	1
33	оказывается для	1	1
34	во многом	2	1
35	с героем	1	1
36	утверждает что	1	1
37	так и	6	1
38	и со	1	1
39	его личности	1	1
40	но когда	1	1
41	автора и	1	1
42	сам писатель	1	1
43	в основе	2	1
44	достоевского с	5	1
45	по отношению	3	1
46	как о	2	1
47	себя в	2	1
48	и сам	5	1
49	многое другое	2	1
50	по поводу	1	1
51	братья карамазовы	1	1
52	и гоголь	1	1
53	если бы	4	1
54	не остается	1	1
55	а с	3	1
56	и еще	2	1
57	это был	3	1
58	дает и	1	1
59	в первую	1	1
60	в руки	2	1
61	униженных и	1	1
62	только для	2	1
63	первую очередь	1	1
64	из подполья	6	1
65	а в	4	1
66	самого достоевского	2	1
67	и в	20	1
68	как только	1	1
69	это сам	1	1
70	и наказания	2	1
71	и многое	2	1
72	теперь я	2	1
73	не случайно	2	1
74	и оскорбленных	1	1
75	в эту	1	1
76	достоевского лежит	1	1
77	все это	6	1
78	тем что	3	1
79	и др	3	1
80	а по	1	1
81	он с	1	1
82	свою жену	1	1
83	достоевского она	1	1
84	я не	2	1
85	другой стороны	2	1
86	за границей	1	1
87	никогда не	11	1
88	в них	1	1
89	и без	2	1
