N	2gram	Losev_Dial_2	Hudozhes
1	том что	10	16
2	и в	19	14
3	так и	10	13
4	при этом	4	12
5	в том	14	12
6	о том	5	12
7	а не	16	12
8	не только	19	12
9	в себе	15	11
10	прежде всего	8	11
11	в этом	8	11
12	и т	17	11
13	в своей	8	10
14	как и	10	9
15	то же	12	9
16	у него	1	9
17	что он	6	9
18	же время	5	8
19	т п	2	8
20	между тем	2	8
21	то что	14	8
22	в его	1	8
23	в то	6	8
24	ничего не	3	8
25	в этой	3	8
26	как в	2	8
27	еще не	4	7
28	не в	8	7
29	к тому	2	7
30	это не	10	7
31	уже не	3	7
32	не может	9	7
33	именно в	2	7
34	а в	4	7
35	личности в	8	7
36	как бы	14	7
37	быть может	1	7
38	что в	7	6
39	никогда не	9	6
40	было бы	3	6
41	друг друга	1	5
42	жизни и	6	5
43	не менее	3	5
44	точки зрения	12	5
45	об этом	3	5
46	и он	1	5
47	ни в	10	5
48	к жизни	1	5
49	потому что	14	5
50	но и	12	5
51	в этих	3	5
52	и его	5	5
53	перед нами	2	5
54	только в	5	5
55	но в	2	5
56	в частности	2	5
57	самом деле	4	5
58	может быть	20	5
59	и с	5	4
60	можно сказать	5	4
61	на то	1	4
62	связи с	4	4
63	не было	3	4
64	и все	12	4
65	человеческой жизни	2	4
66	т е	30	4
67	с ним	4	4
68	как раз	5	4
69	и это	5	4
70	в конце	2	4
71	та же	4	4
72	то в	1	4
73	по своей	4	4
74	тому что	2	4
75	тем не	2	4
76	того что	6	4
77	что она	14	4
78	только что	5	4
79	и к	7	4
80	и от	3	4
81	а только	3	4
82	и о	1	4
83	мы уже	8	4
84	в самом	5	4
85	она не	8	4
86	он не	4	4
87	несмотря на	2	4
88	себя в	2	4
89	в ней	2	4
90	бытия и	1	4
91	как будто	7	4
92	из них	3	4
93	в своем	4	4
94	все эти	2	3
95	приводит к	1	3
96	все же	4	3
97	как субъекта	1	3
98	в связи	4	3
99	говорить о	5	3
100	но он	4	3
101	в литературе	1	3
102	или не	2	3
103	может и	2	3
104	т д	15	3
105	в нем	10	3
106	даже в	3	3
107	превращается в	1	3
108	это в	1	3
109	по преимуществу	1	3
110	на этом	2	3
111	или иная	2	3
112	то и	1	3
113	как его	1	3
114	его в	3	3
115	но не	6	3
116	ничем не	1	3
117	в театре	1	3
118	и на	1	3
119	в ее	4	3
120	в таком	4	3
121	и даже	14	3
122	себе самому	1	3
123	с точки	8	3
124	идет о	1	3
125	как мы	3	3
126	отнюдь не	6	3
127	что у	2	3
128	с этим	3	3
129	том как	2	3
130	тем что	2	3
131	и когда	4	3
132	по своему	5	3
133	она в	1	3
134	будто бы	3	3
135	этом отношении	1	3
136	и смерти	1	3
137	в мире	2	3
138	в своих	2	3
139	та или	2	3
140	же в	2	3
141	речь идет	1	3
142	еще в	1	3
143	и по	4	3
144	как все	1	2
145	и не	30	2
146	на его	2	2
147	не знает	1	2
148	со мною	1	2
149	в другом	4	2
150	вопрос о	3	2
151	бы на	1	2
152	о котором	3	2
153	видно что	1	2
154	не умеет	2	2
155	и потом	2	2
156	для своего	1	2
157	не была	1	2
158	от личности	5	2
159	здесь не	1	2
160	все равно	5	2
161	об анекдоте	1	2
162	нашей жизни	1	2
163	сих пор	2	2
164	у себя	1	2
165	при всей	1	2
166	личности и	6	2
167	мы не	1	2
168	я и	2	2
169	но с	1	2
170	до сих	2	2
171	так что	7	2
172	если в	2	2
173	что я	2	2
174	что на	2	2
175	того или	2	2
176	в это	3	2
177	что же	2	2
178	и личность	2	2
179	ту или	1	2
180	с этой	1	2
181	столкновение с	1	2
182	раз в	2	2
183	людей а	1	2
184	мысли о	1	2
185	но как	5	2
186	с другим	1	2
187	на него	2	2
188	не имеет	1	2
189	и ему	1	2
190	например в	2	2
191	с ее	2	2
192	в системе	2	2
193	в целом	1	2
194	что не	6	2
195	своей жизни	1	2
196	д с	1	2
197	говоря о	1	2
198	как он	4	2
199	на самом	2	2
200	по теории	1	2
201	да и	6	2
202	и поэтому	1	2
203	об одном	1	2
204	в одной	4	2
205	должно быть	7	2
206	и потому	5	2
207	ясно что	4	2
208	своей собственной	1	2
209	личность не	1	2
210	в изображении	2	2
211	его личности	2	2
212	не о	1	2
213	человек в	1	2
214	в их	2	2
215	своей личностной	1	2
216	по себе	18	2
217	с ними	2	2
218	одна из	1	2
219	только потому	2	2
220	внимание на	1	2
221	оно было	1	2
222	же как	3	2
223	так сказать	1	2
224	только для	1	2
225	ему не	1	2
226	или иную	1	2
227	себя и	1	2
228	и что	5	2
229	в результате	2	2
230	еще раз	1	2
231	уже знаем	3	2
232	у нее	1	2
233	нет ничего	1	2
234	не раз	2	2
235	проникнуть в	1	2
236	или иного	1	2
237	все это	4	2
238	не бывает	1	2
239	человека его	1	2
240	жизни так	1	2
241	своей природе	2	2
242	так или	2	2
243	личность же	1	2
244	они не	3	2
245	только на	1	2
246	себе и	3	2
247	поэтому и	1	2
248	и другое	1	2
249	или иначе	2	2
250	совершенно иной	1	2
251	мы знаем	1	2
252	и из	3	1
253	может не	4	1
254	не случайное	1	1
255	не могла	1	1
256	главным образом	1	1
257	и содержания	1	1
258	не видел	1	1
259	когда мы	3	1
260	или только	1	1
261	но она	1	1
262	что можно	1	1
263	смысл и	2	1
264	сами по	3	1
265	как у	1	1
266	во времени	4	1
267	к внешнему	1	1
268	в свое	1	1
269	выкинуть из	1	1
270	самом же	1	1
271	взгляда на	2	1
272	когда же	1	1
273	во всяком	2	1
274	его на	1	1
275	данном случае	2	1
276	а ведь	1	1
277	это вопрос	1	1
278	конце концов	1	1
279	в поле	1	1
280	о способах	1	1
281	же это	4	1
282	тех же	1	1
283	то можно	1	1
284	в которой	2	1
285	достоевского в	1	1
286	есть по	1	1
287	собственно и	1	1
288	говорит о	1	1
289	от этого	3	1
290	как таковой	4	1
291	в предыдущем	1	1
292	было и	1	1
293	что они	6	1
294	и чувства	1	1
295	жизни с	2	1
296	вот мы	1	1
297	существования но	1	1
298	именно на	1	1
299	нечто иное	1	1
300	значение приобретает	1	1
301	уходила в	1	1
302	даже не	1	1
303	процессов в	1	1
304	ее на	1	1
305	из всего	2	1
306	не должно	2	1
307	от обстоятельств	1	1
308	в сфере	2	1
309	эти два	2	1
310	видит его	1	1
311	есть нечто	8	1
312	еще и	1	1
313	и другому	1	1
314	и ее	1	1
315	ни с	4	1
316	на тему	1	1
317	но при	1	1
318	я сам	2	1
319	и воображения	1	1
320	друг другу	1	1
321	вовсе не	13	1
322	есть в	2	1
323	этом мы	1	1
324	когда оно	2	1
325	частности к	1	1
326	сюда же	1	1
327	в жизни	2	1
328	из всякого	1	1
329	только один	1	1
330	одна и	4	1
331	глубины и	1	1
332	только о	2	1
333	характер это	1	1
334	наконец в	1	1
335	эти более	1	1
336	сказал что	1	1
337	из двух	1	1
338	свое время	1	1
339	и они	2	1
340	ним в	1	1
341	представить себе	1	1
342	в какой	2	1
343	личности мы	1	1
344	можно заметить	1	1
345	быть только	2	1
346	мира где	1	1
347	его и	1	1
348	вступает в	1	1
349	и до	1	1
350	хотя бы	4	1
351	обыкновенной жизни	1	1
352	там где	1	1
353	дает нам	1	1
354	не будучи	2	1
355	что эта	1	1
356	он в	1	1
357	из жизни	1	1
358	о внутреннем	1	1
359	нисколько не	4	1
360	человека с	1	1
361	она или	1	1
362	в голову	1	1
363	свою жизнь	1	1
364	личности с	1	1
365	и личности	1	1
366	анекдоте или	1	1
367	или как	3	1
368	всегда только	1	1
369	оно все	1	1
370	жизнь в	2	1
371	с тем	2	1
372	в одном	4	1
373	иначе не	1	1
374	по его	1	1
375	что уже	2	1
376	одно из	4	1
377	делает их	2	1
378	уж не	1	1
379	сам а	1	1
380	или даже	1	1
381	но мы	2	1
382	только еще	1	1
383	он сам	1	1
384	совсем не	1	1
385	но все	2	1
386	таком случае	3	1
387	в образе	1	1
388	мы еще	1	1
389	том и	1	1
390	это вполне	1	1
391	и только	4	1
392	путь к	1	1
393	время в	1	1
394	в определенном	2	1
395	в акте	2	1
396	этом смысле	1	1
397	первый взгляд	1	1
398	извне и	1	1
399	нем и	2	1
400	где все	1	1
401	многих отношениях	1	1
402	с другом	1	1
403	что касается	1	1
404	века в	1	1
405	не переставая	1	1
406	знаем что	1	1
407	например от	1	1
408	в широком	2	1
409	к чему	1	1
410	она есть	9	1
411	здесь нет	1	1
412	но вот	2	1
413	и более	3	1
414	жизнь личности	2	1
415	мыслима только	1	1
416	и я	2	1
417	в узком	2	1
418	время не	3	1
419	смысле как	1	1
420	еще придется	1	1
421	нет и	1	1
422	углубляясь в	1	1
423	он все	1	1
424	явлений и	2	1
425	на который	2	1
426	и вот	4	1
427	не сводится	1	1
428	жизнь и	5	1
429	быть личностью	1	1
430	живой и	2	1
431	человека но	2	1
432	он от	1	1
433	их не	1	1
434	вспомнить как	1	1
435	из которых	1	1
436	и конечно	1	1
437	всей своей	1	1
438	оно в	1	1
439	на месте	1	1
440	есть личность	1	1
441	жить в	1	1
442	единую и	1	1
443	различия между	2	1
444	не во	2	1
445	что бы	2	1
446	эта сторона	1	1
447	и громко	1	1
448	с самого	2	1
449	как это	7	1
450	человека которого	1	1
451	в дальнейшем	1	1
452	которая на	1	1
453	но на	1	1
454	мог бы	1	1
455	нас к	1	1
456	сухих и	1	1
457	нельзя ли	2	1
458	из этих	1	1
459	отличие от	1	1
460	это и	3	1
461	человека и	2	1
462	к его	1	1
463	общего с	1	1
464	все его	3	1
465	в прошлом	1	1
466	друг с	1	1
467	связана с	2	1
468	об этих	1	1
469	тот же	1	1
470	на одном	1	1
471	не на	2	1
472	в самых	1	1
473	то ни	1	1
474	сказать что	10	1
475	смысле слова	1	1
476	есть человек	1	1
477	как еще	1	1
478	в чем	3	1
479	душа не	1	1
480	в силу	5	1
481	во всех	2	1
482	но уже	1	1
483	я в	1	1
484	в руках	1	1
485	в сущности	2	1
486	его самого	1	1
487	не все	1	1
488	можно назвать	1	1
489	мы должны	2	1
490	путь и	1	1
491	но тут	3	1
492	во многих	1	1
493	тому чтобы	1	1
494	о человеческом	1	1
495	я никогда	1	1
496	для которой	1	1
497	в характере	1	1
498	весь мир	1	1
499	времени и	9	1
500	содержит в	4	1
501	связано с	1	1
502	это действительно	1	1
503	и др	1	1
504	в смысле	5	1
505	встречи двух	1	1
506	бы я	1	1
507	тотчас же	1	1
508	к сожалению	2	1
509	опираясь на	1	1
510	личности это	3	1
511	же и	9	1
512	всяком случае	2	1
513	нем не	1	1
514	том смысле	4	1
515	из их	1	1
516	а она	5	1
517	в пространстве	1	1
518	сказать почти	1	1
519	о чем	3	1
520	на них	1	1
521	их и	1	1
522	воли и	1	1
523	она сама	3	1
524	у которого	1	1
525	все дело	1	1
526	или менее	2	1
527	ее и	1	1
528	в основе	1	1
529	не буду	1	1
530	тут же	4	1
531	ему в	1	1
532	тому и	1	1
533	который не	1	1
534	более или	2	1
535	не вызывает	1	1
536	является не	1	1
537	есть его	1	1
538	в особенности	1	1
539	только не	2	1
540	на первый	1	1
541	и тем	1	1
542	было уже	1	1
543	и тех	1	1
544	состояние души	1	1
545	из этого	1	1
546	из нее	1	1
547	иной раз	5	1
548	солнца и	1	1
549	всех этих	3	1
550	неотделим от	3	1
551	и та	6	1
552	их жизнь	1	1
553	могут быть	4	1
554	на всю	2	1
555	личного бытия	1	1
556	что именно	1	1
557	с одной	2	1
558	когда он	1	1
559	или смеется	1	1
560	он всегда	2	1
561	не потому	6	1
562	жизни вот	1	1
563	далеко не	1	1
564	оно всегда	2	1
565	в москве	1	1
566	есть своя	1	1
567	неожиданное и	1	1
568	иной чем	1	1
569	ее характера	1	1
570	не могут	4	1
571	причем все	1	1
572	начала есть	1	1
573	же о	1	1
574	и менее	1	1
575	три года	1	1
576	как известно	2	1
577	о них	1	1
578	также и	2	1
579	она действительно	1	1
580	раз он	1	1
581	в науке	2	1
582	и она	2	1
583	о личности	1	1
584	несомненно есть	1	1
585	же не	3	1
586	с утра	1	1
587	их в	2	1
588	вообще на	1	1
589	что этот	3	1
590	же деле	1	1
591	на земле	1	1
592	одной стороны	1	1
593	не как	2	1
594	и событий	1	1
595	взглянуть на	1	1
596	личность в	2	1
597	истории и	1	1
598	между собою	3	1
599	категория личности	1	1
600	ведь и	1	1
601	тут тоже	2	1
602	это еще	2	1
603	одних и	1	1
604	существования и	1	1
605	в которую	1	1
606	тем более	1	1
607	я не	6	1
608	но ведь	2	1
609	понятий и	1	1
610	нас в	1	1
611	в становлении	2	1
612	сразу же	3	1
613	того и	2	1
614	этого человека	1	1
615	в общем	2	1
616	уже говорили	1	1
617	свою голову	1	1
618	бы совершенно	1	1
619	самый общий	1	1
620	всего это	1	1
621	во многом	1	1
622	в личности	4	1
623	происходит в	1	1
624	времени как	1	1
625	реакции на	1	1
626	слушать его	1	1
627	личности которая	1	1
628	и всегда	1	1
629	если же	1	1
630	самих этих	1	1
631	это время	3	1
632	на свой	1	1
633	его не	2	1
634	сердце и	1	1
635	жизнь есть	1	1
636	среди всех	1	1
637	в целях	3	1
638	всю его	1	1
639	таит в	1	1
640	это одно	1	1
641	уже в	4	1
642	все что	1	1
643	них и	1	1
644	от нее	1	1
645	с другой	5	1
646	но совершенно	1	1
647	стороны и	1	1
648	когда в	1	1
649	он берет	2	1
650	опыта в	1	1
651	она как	1	1
652	и прочих	2	1
653	выражение лица	2	1
654	и то	7	1
655	самого начала	2	1
656	хотя в	2	1
657	и уже	3	1
658	сознания так	1	1
659	может стать	1	1
660	одного из	1	1
661	не будем	1	1
662	одному из	1	1
663	что все	1	1
664	здесь речь	1	1
665	неотделима от	1	1
666	что оно	4	1
667	всегда есть	2	1
668	со своими	1	1
669	существенное различие	1	1
670	словами а	1	1
671	за то	1	1
672	себе а	1	1
673	на нее	1	1
674	на свете	5	1
675	в виду	5	1
676	которые являются	1	1
677	ответить на	1	1
678	так как	14	1
679	его мы	1	1
680	который все	1	1
681	от характера	1	1
682	ни на	2	1
683	с какой	1	1
684	а напротив	1	1
685	что мы	2	1
686	и эта	1	1
687	все в	2	1
688	и как	10	1
689	как о	1	1
690	литературы и	1	1
691	однако не	1	1
692	же самое	2	1
693	и остается	2	1
694	вообще не	1	1
695	философской мысли	1	1
696	чем не	1	1
697	которые каждый	1	1
698	но это	7	1
699	и другого	1	1
700	но для	1	1
701	в данном	3	1
702	душу и	1	1
