N	3gram	Vinokur_St_2	Problemy
1	то же время	1	10
2	в то же	1	10
3	на самом деле	1	9
4	с самого начала	3	8
5	в отношении к	1	7
6	по отношению к	1	6
7	во всяком случае	3	4
8	а между тем	1	3
9	в этом смысле	1	3
10	он не может	1	3
11	бы то ни	2	3
12	одно и то	1	3
13	то ни было	2	3
14	в высшей степени	1	3
15	в конце концов	1	3
16	и то же	1	3
17	друг к другу	1	3
18	что у меня	1	3
19	с другой стороны	3	3
20	к тому же	2	3
21	с точки зрения	2	2
22	сам по себе	1	2
23	в отличие от	2	2
24	ни одного слова	1	2
25	нет ни одного	1	2
26	и в этом	2	2
27	на тему о	1	2
28	что он сам	1	2
29	так и в	2	2
30	и все это	1	2
31	но все же	2	2
32	и что он	1	2
33	в том что	16	2
34	но кроме того	1	1
35	говорит о себе	1	1
36	точно такое же	1	1
37	и в которой	1	1
38	где я не	1	1
39	все это и	1	1
40	в чем же	1	1
41	дело в том	4	1
42	а прежде всего	1	1
43	них как на	1	1
44	и для самого	1	1
45	не только с	2	1
46	в самом деле	2	1
47	и в особенности	1	1
48	в ней буквально	1	1
49	но и по	1	1
50	том что он	5	1
51	в том же	2	1
52	в этом случае	1	1
53	что же касается	1	1
54	у меня в	2	1
55	он с самого	1	1
56	должно было быть	1	1
57	до сих пор	5	1
58	говорить о мире	1	1
59	вместе с тем	5	1
60	что он не	4	1
61	то что в	2	1
62	за то что	2	1
63	говорит что он	1	1
64	не укладывается в	1	1
65	в ответе другого	1	1
66	и кто ж	1	1
67	вы говорите что	1	1
68	но и эти	1	1
69	в котором все	1	1
70	к тому что	5	1
71	что почти все	1	1
72	в значительной степени	2	1
73	для него самого	2	1
74	о чем он	1	1
75	в данном случае	1	1
76	настолько велико что	1	1
77	всяком случае не	2	1
78	к одному из	1	1
79	на них как	1	1
80	но и с	2	1
81	то что он	2	1
82	я не могу	1	1
83	и в том	1	1
84	потому что они	1	1
85	в свое время	1	1
86	в то время	1	1
87	в эту сторону	1	1
88	это еще не	1	1
89	и пр в	1	1
90	действующих лиц в	1	1
91	котором все эти	1	1
92	имел в виду	1	1
93	и вместе с	1	1
94	в свою очередь	1	1
95	о том что	11	1
96	не только не	2	1
97	ни в одном	2	1
98	по его мнению	1	1
99	как бы ни	1	1
100	вопрос о том	3	1
101	тем не менее	2	1
102	с которыми он	1	1
103	как мы видели	1	1
104	для того чтобы	5	1
105	как его понимал	1	1
106	в этом отношении	9	1
107	и в другом	1	1
