N	2gram	Tiupa_Disk_2	BTomashe
1	и не	15	2
2	все это	2	2
3	в ней	2	2
4	не то	1	2
5	выпадает из	1	1
6	крайней мере	1	1
7	художественного произведения	1	1
8	за пределы	1	1
9	говорить о	2	1
10	будто бы	1	1
11	об этом	1	1
12	и в	16	1
13	не вполне	1	1
14	определение жанра	1	1
15	из имеющихся	1	1
16	к ней	1	1
17	с другой	5	1
18	в своей	6	1
19	как будто	3	1
20	не следует	3	1
21	из ее	1	1
22	все же	6	1
23	всяком случае	1	1
24	а о	1	1
25	установка на	1	1
26	никак не	1	1
27	между ними	1	1
28	точке зрения	1	1
29	еще не	6	1
30	и на	5	1
31	в пределах	4	1
32	одной из	1	1
33	должна быть	2	1
34	в значительной	1	1
35	прежде всего	7	1
36	в данном	7	1
37	и во	1	1
38	так и	9	1
39	о них	1	1
40	не было	3	1
41	в книге	1	1
42	его не	1	1
43	далеко не	2	1
44	не о	2	1
45	всего в	1	1
46	пожалуй и	2	1
47	до конца	1	1
48	не со	1	1
49	а не	14	1
50	что в	5	1
51	в области	2	1
52	другой стороны	2	1
53	также не	1	1
54	и ее	3	1
55	так по	1	1
56	по крайней	1	1
57	отнюдь не	6	1
58	таким образом	1	1
59	вопрос о	1	1
60	и более	1	1
61	не только	10	1
62	значительной степени	1	1
63	во всяком	1	1
64	в эпоху	1	1
