1	в качестве	16	31
2	может быть	16	29
3	в том	8	27
4	не может	9	22
5	и не	15	21
6	в частности	12	19
7	и в	16	18
8	а не	14	17
9	но и	11	17
10	представляет собой	11	16
11	отнюдь не	6	15
12	не только	10	15
13	коммуникативного события	5	14
14	тогда как	11	14
15	не в	3	14
16	в этом	16	13
17	как и	16	13
18	в его	3	13
19	том что	10	12
20	при этом	17	12
21	в себе	19	11
22	эстетического объекта	1	11
23	то есть	12	11
24	состоит в	16	11
25	произведения в	1	11
26	художественного целого	4	10
27	но не	7	10
28	то же	6	9
29	иначе говоря	3	9
30	а в	2	9
31	в то	5	9
32	не есть	1	8
33	есть не	1	8
34	в принципе	2	8
35	но в	11	8
36	в той	2	8
37	в мире	11	8
38	эстетического отношения	1	8
39	особого рода	1	7
40	значении этого	2	7
41	произведения как	2	7
42	к тому	1	7
43	тем самым	6	7
44	далеко не	2	6
45	я и	4	6
46	в сущности	1	6
47	точки зрения	4	6
48	же время	5	6
49	в своей	6	6
50	перед лицом	2	6
51	отличие от	12	6
52	той или	3	6
53	в случае	1	6
54	то что	5	6
55	или иной	3	6
56	мы имеем	2	6
57	себя в	6	6
58	в основе	4	6
59	коммуникативное событие	3	6
60	только в	3	6
61	по отношению	4	6
62	должен быть	1	6
63	в самом	1	6
64	в себя	2	6
65	в отличие	12	6
66	прежде всего	7	6
67	времени и	2	6
68	по своей	6	6
69	это не	3	6
70	сводится к	2	5
71	и того	3	5
72	и т.п	12	5
73	и его	3	5
74	художественного произведения	1	5
75	как бы	4	5
76	лишь в	1	5
77	что в	5	5
78	в этой	4	5
79	внутренней речи	3	5
80	и состоит	2	5
81	и как	3	5
82	о том	4	5
83	имеет место	1	5
84	художественный текст	1	5
85	в тексте	3	5
86	между тем	2	5
87	отношению к	4	5
88	и на	5	5
89	в целом	2	5
90	такого рода	9	5
91	и другого	2	4
92	не следует	3	4
93	могут быть	3	4
94	с точки	2	4
95	как правило	1	4
96	ни было	1	4
97	уже не	3	4
98	с ним	1	4
99	вместе с	2	4
100	ни в	7	4
101	себя и	1	4
102	исходя из	1	4
103	с другой	5	4
104	не более	2	4
105	того же	2	4
106	столь же	3	4
107	в области	2	4
108	именно в	2	4
109	из того	1	4
110	все же	6	4
111	не с	2	4
112	конечном счете	1	4
113	имеем дело	1	4
114	целого в	1	4
115	так и	9	4
