N	4gram	Medvedev_F_3	Problema
1	и тем не менее	1	3
2	ни в коем случае	1	3
3	на самом же деле	2	2
4	дело в том что	1	1
5	мы имеем в виду	1	1
6	вовсе не являются только	1	1
7	каких бы то ни	1	1
8	в том числе и	1	1
9	в коем случае не	1	1
10	в том что они	1	1
11	и в то же	2	1
12	не выходит за пределы	1	1
13	а вместе с тем	1	1
14	в связи с теорией	1	1
15	бы то ни было	4	1
16	с этой точки зрения	1	1
17	с другой стороны и	1	1
18	дело здесь не в	1	1
19	в зависимости от его	2	1
20	в жизни и в	1	1
21	во всяком случае предполагает	1	1
22	и в других областях	1	1
23	что в данном случае	1	1
