N	2gram	Bakhtin_Pr_3	Komedia
1	и в	53	26
2	аттической комедии	1	15
3	v в	1	14
4	и не	15	14
5	и его	10	12
6	так и	6	12
7	тому же	2	11
8	может быть	12	11
9	в том	14	11
10	в этом	8	10
11	на протяжении	5	10
12	но и	7	10
13	столь же	1	9
14	том что	5	9
15	вместе с	2	9
16	что в	2	9
17	было бы	5	8
18	и на	18	7
19	не только	4	7
20	что и	3	7
21	из них	4	7
22	еще не	5	6
23	в своем	1	6
24	о том	2	6
25	в нем	10	6
26	таким образом	6	6
27	в то	5	6
28	потому что	5	6
29	и здесь	1	6
30	в двух	2	6
31	наряду с	5	6
32	во время	1	6
33	то что	9	6
34	в которой	2	5
35	с его	2	5
36	что он	4	5
37	так что	1	5
38	в истории	3	5
39	независимо от	1	5
40	с этим	2	5
41	для того	1	5
42	а затем	4	5
43	и с	6	5
44	один из	6	5
45	в качестве	1	5
46	к этому	4	5
47	уже в	2	4
48	в наиболее	1	4
49	хотя и	4	4
50	в самом	2	4
51	что это	2	4
52	в целом	1	4
53	из этих	1	4
54	с их	2	4
55	это было	3	4
56	в них	2	4
57	как и	11	4
58	в этих	5	4
59	место в	2	4
60	не менее	3	4
61	как будто	2	4
62	как мы	5	4
63	можно было	1	4
64	его в	2	4
65	восходит к	1	4
66	между тем	2	4
67	комедии и	1	4
68	в его	8	4
69	только в	4	4
70	до нас	2	4
71	в начале	2	4
72	так как	7	4
73	у него	1	4
74	что для	1	4
75	прежде всего	15	4
76	как это	2	4
77	о его	1	4
78	и для	4	4
79	и от	3	4
80	одной из	4	4
81	точки зрения	4	4
82	например в	5	3
83	в котором	1	3
84	то же	6	3
85	в их	2	3
86	той же	5	3
87	того же	2	3
88	в ней	7	3
89	во всех	12	3
90	но не	5	3
91	по отношению	2	3
92	как в	7	3
93	что касается	2	3
94	но в	5	3
95	со своей	1	3
96	так или	1	3
97	в этой	1	3
98	как он	2	3
99	человека в	3	3
100	в каждом	4	3
101	при всем	1	3
102	но если	1	3
103	в обоих	1	3
104	того как	1	3
105	в самой	1	3
106	же время	5	3
107	связи с	1	3
108	что на	1	3
109	но там	1	3
110	в образе	3	3
111	а у	2	3
112	дело с	1	3
113	для всех	2	3
114	и их	2	3
115	представить себе	1	3
116	друг друга	1	3
117	мы можем	5	3
118	тем что	2	3
119	даже не	1	3
120	или иначе	1	3
121	здесь в	10	3
122	не было	4	3
123	отношениях с	1	3
124	так называемой	1	3
125	о чем	1	3
126	в связи	2	3
127	и особенно	3	3
128	из которых	1	3
129	в тех	1	3
130	отношению к	1	3
131	да и	2	3
132	с этой	1	3
133	все это	8	3
134	мы найдем	3	3
135	или в	1	3
136	а в	2	3
137	в период	1	3
138	в своей	3	3
139	жизни и	9	3
140	том числе	11	3
141	не может	2	3
142	одним из	3	2
143	мы имеем	1	2
144	мы не	4	2
145	из самых	2	2
146	время как	1	2
147	говорить о	2	2
148	то это	1	2
149	и был	1	2
150	он был	1	2
151	в ее	3	2
152	и другие	9	2
153	отличие от	1	2
154	тут же	1	2
155	человеку и	1	2
156	в одной	2	2
157	что именно	2	2
158	целый ряд	1	2
159	под тем	1	2
160	с той	1	2
161	жизни так	1	2
162	известный нам	1	2
163	и если	3	2
164	что она	1	2
165	всех остальных	1	2
166	он не	3	2
167	и еще	1	2
168	в силу	1	2
169	на этом	1	2
170	об этом	1	2
171	связанных с	1	2
172	второй половины	2	2
173	в глазах	1	2
174	это не	6	2
175	этом смысле	1	2
176	не всегда	1	2
177	чем в	1	2
178	в развитии	3	2
179	в один	2	2
180	всяком случае	1	2
181	представление о	1	2
182	в отличие	1	2
183	сюжетная ситуация	1	2
184	которые в	1	2
185	не в	2	2
186	в конце	3	2
187	вовсе не	3	2
188	даже в	1	2
189	одна из	7	2
190	что их	1	2
191	в какой-то	4	2
192	аттическая комедия	1	2
193	в духе	8	2
194	с участием	1	2
195	всего в	1	2
196	своего отца	1	2
197	и это	3	2
198	по и	1	2
199	с самого	3	2
200	и что	1	2
201	в многочисленных	1	2
202	в мире	5	2
203	с собой	1	2
204	или на	2	2
205	после того	1	2
206	и во	4	2
207	и все	10	2
208	обоих случаях	1	2
209	наконец в	2	2
210	представления о	2	2
211	все время	1	2
212	в жизнь	1	2
213	с которыми	1	2
214	все больше	1	2
215	тот же	2	2
216	с ними	1	2
217	и ее	6	2
218	и у	7	2
219	же от	1	2
220	с женой	1	2
221	у того	1	2
222	не для	1	2
