1	в том что	6	11
2	и в самом	1	10
3	то же самое	1	8
4	с самого начала	3	6
5	заключается в том	1	6
6	до сих пор	1	5
7	и т п	2	5
8	с одной стороны	1	5
9	с другой стороны	1	5
10	и т д	1	4
11	то и другое	1	3
12	о том что	5	3
13	мы уже говорили	1	3
14	это имеет место	1	2
15	то что в	1	2
16	к тому что	1	2
17	в прямом смысле	1	2
18	все более и	1	2
19	мы все время	1	2
20	и как бы	1	2
21	имеет место в	1	2
22	и та же	2	2
23	что у него	1	2
24	вместе с тем	1	2
25	я не могу	1	2
26	одного из них	1	2
27	не то что	1	2
28	в наше время	2	2
29	на самом деле	2	2
30	в данном случае	2	2
31	в свою очередь	1	2
32	более и более	1	2
33	только то что	1	2
34	в первой части	1	1
35	и если так	1	1
36	та же самая	2	1
37	таким образом и	1	1
38	все время видим	1	1
39	это вовсе не	1	1
40	не странно ли	1	1
41	все это является	1	1
42	он не может	1	1
43	уже говорили что	1	1
44	к своим героям	1	1
45	как это имеет	1	1
46	мы никогда не	1	1
47	как один из	1	1
48	одна и та	1	1
49	в отличие от	1	1
50	что он не	1	1
51	не так как	1	1
52	имеем в виду	1	1
53	полном согласии с	1	1
54	бросается в глаза	1	1
55	в мировой литературе	1	1
56	по преимуществу в	1	1
57	в стихах и	1	1
58	и все же	3	1
59	он говорит о	1	1
60	имел в виду	1	1
61	в полном согласии	1	1
62	при этом она	1	1
63	они представляют собой	1	1
64	трагедии в трагедии	1	1
65	в этом плане	1	1
66	если мы перейдем	1	1
67	как и на	1	1
68	время видим что	1	1
69	нам кажется что	1	1
70	заключает в себе	1	1
71	к тому же	1	1
72	и как раз	1	1
73	может быть к	1	1
74	не заметить что	1	1
75	все та же	1	1
76	для него было	1	1
77	можно сказать что	2	1
78	он пришел к	1	1
79	сплошь и рядом	1	1
80	все же именно	1	1
81	так ли это?	1	1
82	странно ли что	1	1
83	дело не в	1	1
84	напрашивается вывод что	1	1
85	где он говорит	1	1
86	в мысли и	1	1
87	и что в	1	1
88	вполне может быть	1	1
