N	2gram	Bakhtin_KF_1	Hudozhes
1	том что	4	16
2	и в	24	14
3	так и	2	13
4	не только	5	12
5	при этом	4	12
6	о том	3	12
7	в том	6	12
8	а не	17	12
9	в себе	21	11
10	в этом	14	11
11	прежде всего	2	11
12	в своей	10	10
13	для него	8	10
14	то же	5	9
15	как и	5	9
16	что он	2	9
17	в качестве	2	9
18	по отношению	26	8
19	в этой	2	8
20	как в	2	8
21	то что	7	8
22	же время	2	8
23	ничего не	3	8
24	в его	40	8
25	между тем	4	8
26	отношению к	22	8
27	в то	3	8
28	еще не	4	7
29	это не	10	7
30	не в	12	7
31	к тому	1	7
32	уже не	7	7
33	именно в	5	7
34	не может	27	7
35	как бы	9	7
36	а в	4	7
37	в первой	1	6
38	было бы	8	6
39	никогда не	5	6
40	жизни в	5	6
41	что в	4	6
42	самом деле	3	5
43	с его	1	5
44	но в	5	5
45	об этом	1	5
46	ни в	12	5
47	точки зрения	12	5
48	не менее	3	5
49	и его	17	5
50	потому что	2	5
51	к себе	2	5
52	и он	1	5
53	во второй	1	5
54	только в	16	5
55	друг друга	1	5
56	может быть	45	5
57	но и	9	5
58	в этих	1	5
59	одновременно и	1	5
60	жизни и	8	5
61	мы уже	1	4
62	и о	1	4
63	в ней	3	4
64	столь же	1	4
65	а только	1	4
66	в своем	16	4
67	и к	1	4
68	в действительности	1	4
69	в самом	1	4
70	та же	2	4
71	на то	1	4
72	что она	1	4
73	он не	6	4
74	и с	1	4
75	несмотря на	1	4
76	тем не	2	4
77	тому что	2	4
78	с ним	5	4
79	она не	1	4
80	по своей	1	4
81	в духе	1	4
82	и это	12	4
83	картина мира	1	4
84	можно сказать	1	4
85	того что	3	4
86	один из	2	4
87	себя в	8	4
88	как раз	1	4
89	не было	8	4
90	и все	7	4
91	человеческой жизни	1	4
92	бытия и	10	4
93	только что	1	4
94	и от	1	4
95	с точки	9	3
96	не имеют	1	3
97	едва ли	2	3
98	говорить о	2	3
99	в мире	6	3
100	и на	3	3
101	в ее	16	3
102	отнюдь не	6	3
103	как к	2	3
104	все же	5	3
105	но он	1	3
106	в нем	28	3
107	и по	1	3
108	на этом	1	3
109	лишь в	8	3
110	его в	5	3
111	с этим	1	3
112	и смерти	1	3
113	в своих	3	3
