N	3gram	Bakhtin_sl_1	PoTuStor
1	с точки зрения	8	6
2	с самого начала	1	4
3	до сих пор	2	3
4	по крайней мере	1	3
5	во всяком случае	5	3
6	не может быть	1	3
7	можно сказать что	1	3
8	в большинстве случаев	6	3
9	по аналогии с	1	2
10	связанных с ними	1	2
11	не могут быть	2	2
12	о том что	1	2
13	и в этом	2	2
14	во всех его	7	2
15	и на своем	1	1
16	и связанных с	2	1
17	форма и содержание	1	1
18	всех его многообразных	1	1
19	своем месте и	1	1
20	и столь же	1	1
21	а иногда и	1	1
22	дело в том	1	1
23	мы имеем в	1	1
24	во всех областях	1	1
25	в нем и	1	1
26	имеем в виду	1	1
27	и в тесной	1	1
28	он может быть	1	1
29	всех его моментах	4	1
30	целиком во всех	1	1
31	как мы сказали	4	1
32	в основе их	2	1
33	бы то ни	1	1
34	и др и	2	1
35	в этом отношении	1	1
36	его моментах в	1	1
37	можно было бы	2	1
38	рано или поздно	1	1
39	со всех сторон	1	1
40	может быть только	2	1
41	с этой точки	1	1
42	со всеми его	1	1
43	в данном случае	3	1
44	то ни было	1	1
45	и борьба с	1	1
46	на своем месте	1	1
47	с одной стороны	4	1
48	только в одном	1	1
49	лишь абстрактный момент	1	1
50	бы оно ни	1	1
51	в свое время	1	1
52	в том что	1	1
53	этой точки зрения	1	1
54	оно ни было	1	1
55	каждого из этих	1	1
56	и связанная с	1	1
57	так и в	3	1
58	его отношение к	1	1
59	и прежде всего	1	1
60	или во всяком	2	1
61	в известной степени	2	1
62	но этим не	1	1
63	в каком направлении	1	1
64	друг с другом	2	1
65	для того чтобы	1	1
66	таким образом с	1	1
67	той или иной	9	1
