N	2gram	Medvedev_I_1	Problemy
1	и не	2	31
2	и в	1	29
3	в этом	2	22
4	для него	1	18
5	из подполья	1	10
6	все эти	1	9
7	если бы	1	9
8	отношению к	1	8
9	что в	2	8
10	по отношению	1	8
11	творчества достоевского	2	8
12	так и	1	7
13	а в	1	7
14	о достоевском	2	7
15	в целом	1	6
16	все это	1	6
17	самого достоевского	1	6
18	и о	1	5
19	автора и	1	5
20	ничего не	2	5
21	и др	1	5
22	он не	2	5
23	и с	3	4
24	тем что	1	4
25	в основе	1	4
26	бы в	1	3
27	достоевского с	1	3
28	на котором	1	3
29	художественного творчества	1	3
30	не дает	1	3
31	в художественном	1	3
32	в них	1	3
33	другой стороны	1	3
34	я не	1	3
35	с другой	1	3
36	по существу	1	3
37	никогда не	1	3
38	и со	1	2
39	произведения и	1	2
40	нисколько не	1	2
41	то и	1	2
42	с героем	1	2
43	и сам	1	2
44	жизни и	1	2
45	записок из	2	2
46	для других	1	2
47	очерк и	1	1
48	же это	1	1
49	от этого	1	1
50	литература о	1	1
51	утверждает что	1	1
52	того чтобы	1	1
53	того что	1	1
54	было не	1	1
55	не так	1	1
56	только что	1	1
57	что для	1	1
58	очень своеобразный	1	1
59	следовательно в	1	1
60	остается как	1	1
61	них не	1	1
62	так то	1	1
63	для того	1	1
64	и еще	1	1
65	а с	1	1
66	был человек	1	1
67	его личности	1	1
68	это было	1	1
69	и та	1	1
70	не кто	1	1
71	достоевского а	2	1
72	бы его	1	1
73	должен быть	2	1
74	автор не	1	1
75	во многом	1	1
76	себя в	1	1
77	от нее	1	1
78	могло бы	1	1
79	о творчестве	1	1
80	то она	1	1
