N	3gram	Bakhtin_Fr_1	OGranits
1	с точки зрения	3	5
2	не может быть	1	4
3	по отношению к	1	3
4	вполне понятно что	2	3
5	в самом деле	1	2
6	не чем иным	1	2
7	с одной стороны	2	2
8	с другой стороны	1	2
9	чем иным как	1	2
10	в том что	6	2
11	и не является	1	2
12	в чем же	1	1
13	явления но в	1	1
14	в нем только	3	1
15	на самом деле	2	1
16	ясное и отчетливое	1	1
17	и в некоторых	1	1
18	такие явления как	1	1
19	и не может	1	1
20	во всей своей	1	1
21	можно говорить о	1	1
22	в отличие от	4	1
23	нет и не	1	1
24	в этом отношении	3	1
25	нужно сказать что	4	1
26	в собственном смысле	1	1
27	однако было бы	1	1
28	придется остановиться на	1	1
29	в значительной мере	2	1
30	и в области	1	1
31	то или иное	1	1
32	нужно отметить что	2	1
33	в последнее время	1	1
34	в узком смысле	2	1
35	для того чтобы	1	1
36	отношений между людьми	1	1
37	в особенности в	1	1
38	все эти три	1	1
39	не входит в	2	1
40	в связи с	1	1
41	чуть ли не	1	1
42	это и не	1	1
43	это конечно не	1	1
44	все то что	1	1
45	во всем своем	1	1
46	в данную эпоху	1	1
47	то же время	1	1
48	еще одну особенность	1	1
49	при таком подходе	2	1
50	на этом мы	1	1
51	и превращается в	1	1
52	включает в себя	1	1
53	но в то	1	1
54	выходит за пределы	3	1
55	в совершенно иных	1	1
56	наиболее чистым и	1	1
57	в то же	1	1
58	тех или иных	1	1
