N	3gram	Potebnia_M_4	Mirosoze
1	не может быть	5	17
2	не было бы	1	5
3	вместе с тем	3	5
4	а не в	1	4
5	но и в	1	4
6	и вместе с	1	4
7	потому что в	3	3
8	с тем что	4	3
9	заключает в себе	8	3
10	и потому не	1	3
11	и в самом	1	3
12	по отношению к	8	2
13	до сих пор	4	2
14	и не может	1	2
15	хотя бы и	2	2
16	к тому чтобы	1	2
17	смысле в каком	1	2
18	человеческого духа и	1	2
19	в том смысле	2	2
20	на том основании	1	2
21	не могут быть	2	2
22	это не значит	2	2
23	том основании что	1	2
24	в то время	1	2
25	никогда не может	1	2
26	для того чтобы	4	2
27	непосредственно примыкает к	2	1
28	что иное как	2	1
29	и есть то	1	1
30	в человека в	1	1
31	нет и не	1	1
32	в которой все	1	1
33	он сам не	1	1
34	и все то	1	1
35	для человека в	1	1
36	всех есть только	1	1
37	это потому что	2	1
38	может быть назван	3	1
39	потому что не	1	1
40	бы он ни	1	1
41	том случае если	1	1
42	в том только	1	1
43	и быть может	1	1
44	и т п	4	1
45	и это есть	2	1
46	что в то	1	1
47	он ни был	1	1
48	он лишен был	1	1
49	есть то что	2	1
50	в том случае	3	1
51	может быть и	1	1
52	мы говорим что	1	1
53	иное как отрицание	1	1
54	том смысле в	1	1
55	может быть что	1	1
56	не имеет для	1	1
57	что в сложном	1	1
58	отношению к нему	1	1
59	человека и все	1	1
60	и по отношению	2	1
61	не в том	2	1
62	каждый раз когда	1	1
63	все более и	2	1
64	друг к другу	1	1
65	во всяком случае	3	1
66	лишь в том	1	1
67	одна и та	1	1
68	когда мы говорим	3	1
69	могут быть даны	1	1
70	или лучше сказать	1	1
71	между тем как	2	1
72	в ряду других	3	1
73	и в том	2	1
74	что совершается в	1	1
75	от того что	3	1
76	том смысле что	1	1
77	нет ничего кроме	1	1
78	даже и в	1	1
79	всего того что	1	1
80	и состоит чтобы	1	1
81	что и в	2	1
82	потому что мы	2	1
83	о том что	5	1
84	и ту же	1	1
85	для нас в	1	1
86	более и более	2	1
87	не что иное	2	1
88	и та же	1	1
89	в себе в	1	1
90	одну и ту	1	1
91	в них не	1	1
92	в том что	7	1
