N	3gram	Berdyaev_V_1	Myshleni
1	в том что	2	13
2	по сравнению с	1	7
3	к тому что	3	6
4	вместе с тем	1	4
5	то и другое	1	3
6	так как она	1	3
7	как и в	1	3
8	том что он	2	2
9	в известном смысле	1	2
10	и вместе с	1	2
11	и есть то	1	1
12	как это случилось	1	1
13	есть прежде всего	1	1
14	не к тому	1	1
15	находится в состоянии	1	1
16	и в старой	1	1
17	есть то что	1	1
18	его связь с	1	1
19	и что в	1	1
20	и в этом	1	1
21	с другой стороны	1	1
22	он говорит что	1	1
23	не могут быть	1	1
24	на этом пути	1	1
25	вместо того чтобы	2	1
26	и во всяком	1	1
27	и то и	1	1
28	так и в	1	1
29	то что мы	3	1
30	того что он	1	1
31	мы слышим от	1	1
32	после того как	1	1
33	но все же	1	1
34	в конце концов	1	1
