N	3gram	Nazirov_Tv_2	FransuaR
1	в то же	7	6
2	то же время	7	6
3	мы уже говорили	1	5
4	до сих пор	3	4
5	не может быть	3	4
6	но прежде всего	2	3
7	в известной мере	2	3
8	в xix веке	2	3
9	но в то	1	3
10	о том что	2	3
11	нужно сказать что	1	3
12	с другой стороны	2	3
13	в году в	1	2
14	в другом месте	1	2
15	сих пор еще	1	2
16	только то что	1	2
17	содержит в себе	1	2
18	и в то	2	2
19	во всяком случае	2	2
20	там же с	9	2
21	в ту эпоху	1	2
22	мы знаем что	1	1
23	только потому что	1	1
24	была для него	1	1
25	в г в	1	1
26	потому что в	1	1
27	как и для	1	1
28	дело в том	1	1
29	по отношению к	3	1
30	в том же	2	1
31	над тем что	1	1
32	рядом с ним	1	1
33	в одной из	2	1
34	том же году	2	1
35	и не может	2	1
36	при этом что	1	1
37	в первую очередь	1	1
38	что в нем	1	1
39	что в них	1	1
40	в романе в	1	1
41	как и у	1	1
42	именно в этом	2	1
43	роль в создании	1	1
44	уже говорили о	1	1
45	и в литературе	1	1
46	в первый раз	1	1
47	это прежде всего	2	1
48	он направлен на	1	1
49	в предисловии к	1	1
50	в чем же	1	1
51	так и в	2	1
52	в году и	1	1
53	это одна из	1	1
54	не могут быть	1	1
55	являются как бы	1	1
56	в целом ряде	1	1
57	того или иного	1	1
58	как и всякая	1	1
59	выпустил в году	1	1
60	т ii с	2	1
61	в наше время	2	1
62	на ранних стадиях	2	1
63	и рядом с	1	1
64	и особенно в	1	1
65	на точку зрения	1	1
66	о человеке которая	1	1
67	совершенно не учитывает	1	1
68	не только с	1	1
69	по словам энгельса	1	1
70	и прежде всего	1	1
71	или во всяком	1	1
72	в большой литературе	1	1
73	xviii века и	1	1
74	в том что	2	1
75	и вообще все	1	1
76	как и в	1	1
